Player,Metric,Rank,Value,Matches
Iga Swiatek,Directional_Versatility,4,0.38,336
Tatjana Maria,Directional_Versatility,5,0.369,33
Amanda Anisimova,Directional_Versatility,6,0.343,74
Qinwen Zheng,Directional_Versatility,7,0.33,84
Karolina Muchova,Directional_Versatility,8,0.326,91
Ekaterina Alexandrova,Directional_Versatility,9,0.321,81
Elena Rybakina,Directional_Versatility,10,0.319,155
Karolina Muchova,Drop_Shot_Usage,1,0.025,91
Clara Tauson,Drop_Shot_Usage,2,0.021,48
Mirra Andreeva,Drop_Shot_Usage,3,0.019,78
Tatjana Maria,Drop_Shot_Usage,4,0.017,33
Aryna Sabalenka,Drop_Shot_Usage,5,0.015,469
Iga Swiatek,Drop_Shot_Usage,6,0.015,336
Jessica Pegula,Drop_Shot_Usage,7,0.015,123
Amanda Anisimova,Drop_Shot_Usage,8,0.013,74
Coco Gauff,Drop_Shot_Usage,9,0.013,154
Emma Navarro,Drop_Shot_Usage,10,0.013,48
Clara Tauson,Drop_Shot_Effectiveness,1,0.434,48
Mirra Andreeva,Drop_Shot_Effectiveness,2,0.383,78
Emma Navarro,Drop_Shot_Effectiveness,3,0.354,48
Karolina Muchova,Drop_Shot_Effectiveness,4,0.341,91
Aryna Sabalenka,Drop_Shot_Effectiveness,5,0.34,469
Coco Gauff,Drop_Shot_Effectiveness,6,0.304,154
Qinwen Zheng,Drop_Shot_Effectiveness,7,0.292,84
Elena Rybakina,Drop_Shot_Effectiveness,8,0.285,155
Tatjana Maria,Drop_Shot_Effectiveness,9,0.264,33
Jasmine Paolini,Drop_Shot_Effectiveness,10,0.262,83
Clara Tauson,Drop_Shot_Impact,1,0.009,48
Karolina Muchova,Drop_Shot_Impact,2,0.009,91
Mirra Andreeva,Drop_Shot_Impact,3,0.007,78
Aryna Sabalenka,Drop_Shot_Impact,4,0.006,469
Iga Swiatek,Drop_Shot_Impact,5,0.006,336
Tatjana Maria,Drop_Shot_Impact,6,0.006,33
Coco Gauff,Drop_Shot_Impact,7,0.005,154
Emma Navarro,Drop_Shot_Impact,8,0.005,48
Amanda Anisimova,Drop_Shot_Impact,9,0.004,74
Elena Rybakina,Drop_Shot_Impact,10,0.004,155
Amanda Anisimova,Rally_Aggression,1,0.629,74
Aryna Sabalenka,Rally_Aggression,2,0.627,469
Madison Keys,Rally_Aggression,3,0.542,122
Elena Rybakina,Rally_Aggression,4,0.44,155
Ekaterina Alexandrova,Rally_Aggression,5,0.404,81
Iga Swiatek,Rally_Aggression,6,0.364,336
Qinwen Zheng,Rally_Aggression,7,0.259,84
Clara Tauson,Rally_Aggression,8,0.204,48
Jessica Pegula,Rally_Aggression,9,0.171,123
Karolina Muchova,Rally_Aggression,10,0.162,91
Aryna Sabalenka,Return_Aggression,1,0.589,469
Amanda Anisimova,Return_Aggression,2,0.506,74
Madison Keys,Return_Aggression,3,0.482,122
Ekaterina Alexandrova,Return_Aggression,4,0.448,81
Elena Rybakina,Return_Aggression,5,0.433,155
Qinwen Zheng,Return_Aggression,6,0.33,84
Iga Swiatek,Return_Aggression,7,0.302,336
Clara Tauson,Return_Aggression,8,0.191,48
Jessica Pegula,Return_Aggression,9,0.169,123
Karolina Muchova,Return_Aggression,10,0.157,91
Aryna Sabalenka,Overall_Aggression,1,0.612,469
Amanda Anisimova,Overall_Aggression,2,0.579,74
Madison Keys,Overall_Aggression,3,0.518,122
Elena Rybakina,Overall_Aggression,4,0.438,155
Ekaterina Alexandrova,Overall_Aggression,5,0.421,81
Iga Swiatek,Overall_Aggression,6,0.339,336
Qinwen Zheng,Overall_Aggression,7,0.287,84
Clara Tauson,Overall_Aggression,8,0.199,48
Jessica Pegula,Overall_Aggression,9,0.17,123
Karolina Muchova,Overall_Aggression,10,0.16,91
Karolina Muchova,Court_Position_Strategy,1,0.871,91
Tatjana Maria,Court_Position_Strategy,2,0.684,33
Emma Navarro,Court_Position_Strategy,3,0.621,48
Coco Gauff,Court_Position_Strategy,4,0.613,154
Elina Svitolina,Court_Position_Strategy,5,0.579,226
Jasmine Paolini,Court_Position_Strategy,6,0.571,83
Jessica Pegula,Court_Position_Strategy,7,0.481,123
Mirra Andreeva,Court_Position_Strategy,8,0.48,78
Clara Tauson,Court_Position_Strategy,9,0.473,48
Qinwen Zheng,Court_Position_Strategy,10,0.464,84
Karolina Muchova,Tactical_Versatility,1,0.765,91
Aryna Sabalenka,Tactical_Versatility,2,0.717,469
Amanda Anisimova,Tactical_Versatility,3,0.633,74
Elena Rybakina,Tactical_Versatility,4,0.617,155
Ekaterina Alexandrova,Tactical_Versatility,5,0.615,81
Madison Keys,Tactical_Versatility,6,0.614,122
Iga Swiatek,Tactical_Versatility,7,0.608,336
Qinwen Zheng,Tactical_Versatility,8,0.605,84
Clara Tauson,Tactical_Versatility,9,0.601,48
Mirra Andreeva,Tactical_Versatility,10,0.568,78
Aryna Sabalenka,Power_Finesse_Balance,1,0.914,469
Amanda Anisimova,Power_Finesse_Balance,2,0.91,74
Madison Keys,Power_Finesse_Balance,3,0.878,122
Ekaterina Alexandrova,Power_Finesse_Balance,4,0.866,81
Elena Rybakina,Power_Finesse_Balance,5,0.85,155
Iga Swiatek,Power_Finesse_Balance,6,0.779,336
Qinwen Zheng,Power_Finesse_Balance,7,0.768,84
Jessica Pegula,Power_Finesse_Balance,8,0.654,123
Karolina Muchova,Power_Finesse_Balance,9,0.642,91
Clara Tauson,Power_Finesse_Balance,10,0.64,48
Karolina Muchova,Tactical_Adaptability,1,0.75,91
Aryna Sabalenka,Tactical_Adaptability,2,0.716,469
Amanda Anisimova,Tactical_Adaptability,3,0.655,74
Madison Keys,Tactical_Adaptability,4,0.654,122
Elena Rybakina,Tactical_Adaptability,5,0.642,155
Qinwen Zheng,Tactical_Adaptability,6,0.626,84
Ekaterina Alexandrova,Tactical_Adaptability,7,0.621,81
Iga Swiatek,Tactical_Adaptability,8,0.614,336
Clara Tauson,Tactical_Adaptability,9,0.587,48
Coco Gauff,Tactical_Adaptability,10,0.577,154
Karolina Muchova,Tactical_Match_Impact,1,0.761,91
Aryna Sabalenka,Tactical_Match_Impact,2,0.745,469
Madison Keys,Tactical_Match_Impact,3,0.661,122
Amanda Anisimova,Tactical_Match_Impact,4,0.647,74
Elena Rybakina,Tactical_Match_Impact,5,0.645,155
Iga Swiatek,Tactical_Match_Impact,6,0.643,336
Qinwen Zheng,Tactical_Match_Impact,7,0.641,84
Ekaterina Alexandrova,Tactical_Match_Impact,8,0.631,81
Clara Tauson,Tactical_Match_Impact,9,0.603,48
Coco Gauff,Tactical_Match_Impact,10,0.586,154
Aryna Sabalenka,Offensive_Efficiency,1,0.285,469
Amanda Anisimova,Offensive_Efficiency,2,0.254,74
Madison Keys,Offensive_Efficiency,3,0.232,122
Elena Rybakina,Offensive_Efficiency,4,0.212,155
Ekaterina Alexandrova,Offensive_Efficiency,5,0.201,81
Iga Swiatek,Offensive_Efficiency,6,0.186,336
Qinwen Zheng,Offensive_Efficiency,7,0.156,84
Clara Tauson,Offensive_Efficiency,8,0.132,48
Karolina Muchova,Offensive_Efficiency,9,0.127,91
Jessica Pegula,Offensive_Efficiency,10,0.114,123
Aryna Sabalenka,Tactical_Intelligence,1,0.679,469
Madison Keys,Tactical_Intelligence,2,0.628,122
Karolina Muchova,Tactical_Intelligence,3,0.627,91
Amanda Anisimova,Tactical_Intelligence,4,0.621,74
Elena Rybakina,Tactical_Intelligence,5,0.596,155
Ekaterina Alexandrova,Tactical_Intelligence,6,0.593,81
Iga Swiatek,Tactical_Intelligence,7,0.587,336
Qinwen Zheng,Tactical_Intelligence,8,0.574,84
Clara Tauson,Tactical_Intelligence,9,0.557,48
Jessica Pegula,Tactical_Intelligence,10,0.504,123
Aryna Sabalenka,Overall_Tactical_Game,1,0.432,469
Amanda Anisimova,Overall_Tactical_Game,2,0.389,74
Madison Keys,Overall_Tactical_Game,3,0.375,122
Elena Rybakina,Overall_Tactical_Game,4,0.35,155
Ekaterina Alexandrova,Overall_Tactical_Game,5,0.34,81
Iga Swiatek,Overall_Tactical_Game,6,0.325,336
Karolina Muchova,Overall_Tactical_Game,7,0.315,91
Qinwen Zheng,Overall_Tactical_Game,8,0.304,84
Clara Tauson,Overall_Tactical_Game,9,0.279,48
Jessica Pegula,Overall_Tactical_Game,10,0.249,123
