Player,Match,Result,Year,Net_Game_Frequency,Net_Game_Effectiveness,Net_Game_Impact,Serve_Volley_Frequency,Serve_Volley_Effectiveness,Serve_Volley_Impact,Forehand_Power,Backhand_Power,Groundstroke_Balance,Overall_Groundstroke_Power,Forehand_DTL_Control,Forehand_IO_Control,Backhand_DTL_Control,Directional_Versatility,Drop_Shot_Usage,Drop_Shot_Effectiveness,Drop_Shot_Impact,Rally_Aggression,Return_Aggression,Overall_Aggression,Court_Position_Strategy,Tactical_Versatility,Power_Finesse_Balance,Tactical_Adaptability,Tactical_Match_Impact,Offensive_Efficiency,Tactical_Intelligence,Overall_Tactical_Game
Iga Swiatek,2025 Bad Homburg QF,W vsAlexandrova,2025,0.027,0.5,0.014,0.0,0.0,0.0,0.129,0.184,0.055,0.156,0.227,0.0,0.143,0.185,0.005,0.0,0.0,0.57,0.61,0.586,0.161,0.6,0.999,0.632,0.695,0.242,0.584,0.369
Iga Swiatek,2025 Bad Homburg R16,W vsAzarenka,2025,0.061,0.857,0.052,0.0,0.0,0.0,0.196,0.25,0.054,0.223,0.714,0.0,0.455,0.584,0.006,0.0,0.0,0.655,0.7,0.673,0.256,0.6,0.906,0.623,0.685,0.307,0.663,0.429
Iga Swiatek,2025 Roland Garros SF,L vsSabalenka,2025,0.094,0.688,0.065,0.0,0.0,0.0,0.206,0.152,0.054,0.179,0.467,0.0,0.389,0.428,0.005,1.0,0.005,0.835,0.47,0.689,0.46,0.8,0.961,0.78,0.702,0.298,0.734,0.469
Iga Swiatek,2025 Roland Garros QF,W vsSvitolina,2025,0.031,0.75,0.023,0.0,0.0,0.0,0.121,0.146,0.025,0.134,0.25,0.0,0.333,0.292,0.0,0.0,0.0,0.115,0.17,0.137,0.213,0.4,0.715,0.457,0.503,0.101,0.45,0.208
Iga Swiatek,2025 Roland Garros R16,W vsRybakina,2025,0.044,0.625,0.028,0.0,0.0,0.0,0.224,0.139,0.085,0.182,0.364,0.0,0.231,0.298,0.012,0.0,0.0,0.085,0.035,0.065,0.226,0.4,0.665,0.445,0.489,0.1,0.439,0.195
Iga Swiatek,2025 Roland Garros R32,W vsCristian,2025,0.059,0.875,0.052,0.0,0.0,0.0,0.236,0.122,0.114,0.179,0.313,0.5,0.263,0.538,0.0,0.0,0.0,0.235,0.14,0.197,0.302,0.4,0.595,0.439,0.483,0.146,0.483,0.245
Iga Swiatek,2025 Roland Garros R64,W vsRaducanu,2025,0.078,1.0,0.078,0.0,0.0,0.0,0.217,0.16,0.057,0.188,0.143,0.0,0.318,0.23,0.0,0.0,0.0,0.565,0.48,0.531,0.374,0.6,0.995,0.673,0.741,0.258,0.605,0.384
Iga Swiatek,2025 Roland Garros R128,W vsSramkova,2025,0.066,0.75,0.05,0.0,0.0,0.0,0.323,0.048,0.275,0.185,0.5,0.0,0.2,0.35,0.005,0.0,0.0,0.24,0.28,0.256,0.325,0.4,0.842,0.518,0.569,0.166,0.505,0.264
Iga Swiatek,2025 Madrid SF,L vsGauff,2025,0.084,0.571,0.048,0.0,0.0,0.0,0.102,0.167,0.065,0.134,0.2,0.0,0.273,0.237,0.01,0.0,0.0,0.67,0.34,0.538,0.524,0.6,0.991,0.702,0.632,0.23,0.613,0.372
Iga Swiatek,2025 Madrid R32,W vsNoskova,2025,0.068,0.857,0.058,0.0,0.0,0.0,0.2,0.17,0.03,0.185,0.364,0.0,0.571,0.468,0.0,0.0,0.0,0.205,0.185,0.197,0.335,0.4,0.664,0.466,0.513,0.151,0.486,0.248
Iga Swiatek,2025 Madrid R64,W vsEala,2025,0.05,0.778,0.039,0.0,0.0,0.0,0.321,0.154,0.167,0.238,0.5,0.25,0.4,0.575,0.0,0.0,0.0,0.985,0.905,0.953,0.199,0.6,0.966,0.63,0.693,0.393,0.674,0.497
Iga Swiatek,2025 Stuttgart QF,L vsOstapenko,2025,0.031,0.8,0.025,0.0,0.0,0.0,0.224,0.082,0.142,0.153,0.4,0.0,0.25,0.325,0.0,0.0,0.0,0.27,0.445,0.34,0.188,0.6,0.9,0.608,0.547,0.171,0.593,0.315
Iga Swiatek,2025 Miami QF,L vsEala,2025,0.015,1.0,0.015,0.0,0.0,0.0,0.153,0.17,0.017,0.162,0.375,0.429,0.636,0.72,0.0,0.0,0.0,0.945,0.725,0.857,0.087,0.6,0.884,0.583,0.524,0.326,0.683,0.46
Iga Swiatek,2025 Miami R16,W vsSvitolina,2025,0.065,0.8,0.052,0.0,0.0,0.0,0.152,0.208,0.056,0.18,0.3,0.4,0.345,0.522,0.0,0.0,0.0,0.19,0.125,0.164,0.329,0.4,0.569,0.437,0.48,0.137,0.474,0.234
Iga Swiatek,2025 Miami R32,W vsMertens,2025,0.05,0.857,0.043,0.0,0.0,0.0,0.129,0.167,0.038,0.148,0.357,0.0,0.333,0.345,0.0,0.0,0.0,0.17,0.285,0.216,0.306,0.4,0.772,0.493,0.542,0.137,0.484,0.243
Iga Swiatek,2025 Miami R64,W vsGarcia,2025,0.024,0.667,0.016,0.0,0.0,0.0,0.351,0.2,0.151,0.276,0.333,0.0,0.421,0.377,0.0,0.0,0.0,0.495,0.55,0.517,0.084,0.6,0.967,0.607,0.668,0.27,0.619,0.377
Iga Swiatek,2025 Indian Wells SF,L vsAndreeva,2025,0.086,0.733,0.063,0.0,0.0,0.0,0.158,0.103,0.055,0.13,0.3,0.5,0.2,0.5,0.0,0.0,0.0,0.18,0.145,0.166,0.546,0.4,0.524,0.466,0.42,0.121,0.466,0.23
Iga Swiatek,2025 Indian Wells QF,W vsZheng,2025,0.035,1.0,0.035,0.0,0.0,0.0,0.116,0.037,0.079,0.076,0.3,0.0,0.077,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.384,0.4,0.367,0.387,0.426,0.041,0.337,0.144
Iga Swiatek,2025 Indian Wells R16,W vsMuchova,2025,0.053,1.0,0.053,0.0,0.0,0.0,0.175,0.156,0.019,0.165,0.211,0.0,0.143,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.293,0.4,0.709,0.471,0.518,0.082,0.424,0.181
Iga Swiatek,2025 Indian Wells R32,W vsYastremska,2025,0.033,0.667,0.022,0.0,0.0,0.0,0.161,0.12,0.041,0.14,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.29,0.116,0.216,0.4,0.84,0.495,0.545,0.098,0.462,0.207
Iga Swiatek,2025 Indian Wells R64,W vsGarcia,2025,0.091,0.75,0.068,0.024,1.0,0.024,0.25,0.167,0.083,0.208,0.364,0.0,0.429,0.396,0.0,0.0,0.0,0.675,0.64,0.661,0.483,0.8,0.973,0.788,0.867,0.302,0.731,0.466
Iga Swiatek,2025 Dubai QF,L vsAndreeva,2025,0.079,0.3,0.024,0.0,0.0,0.0,0.141,0.131,0.01,0.136,0.143,0.0,0.182,0.162,0.0,0.0,0.0,0.79,0.485,0.668,0.494,0.6,1.0,0.699,0.629,0.262,0.595,0.392
Iga Swiatek,2025 Doha SF,L vsOstapenko,2025,0.021,0.0,0.0,0.0,0.0,0.0,0.162,0.19,0.028,0.176,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.125,0.11,0.119,0.112,0.2,0.522,0.279,0.251,0.106,0.359,0.159
Iga Swiatek,2025 Doha QF,W vsRybakina,2025,0.07,0.778,0.054,0.0,0.0,0.0,0.135,0.145,0.01,0.14,0.214,0.0,0.75,0.482,0.0,0.0,0.0,0.0,0.0,0.0,0.436,0.4,0.277,0.37,0.407,0.072,0.388,0.17
Iga Swiatek,2025 Doha R32,W vsSakkari,2025,0.067,0.857,0.057,0.0,0.0,0.0,0.098,0.087,0.011,0.092,0.086,0.0,0.125,0.106,0.005,0.0,0.0,0.0,0.0,0.0,0.574,0.4,0.665,0.514,0.566,0.054,0.408,0.17
Iga Swiatek,2025 Australian Open SF,L vsKeys,2025,0.1,0.762,0.076,0.0,0.0,0.0,0.148,0.12,0.028,0.134,0.275,0.0,0.308,0.292,0.006,0.0,0.0,0.07,0.13,0.094,0.601,0.4,0.639,0.512,0.461,0.105,0.449,0.213
Iga Swiatek,2025 Australian Open QF,W vsNavarro,2025,0.089,0.6,0.053,0.0,0.0,0.0,0.103,0.138,0.035,0.121,0.214,1.0,0.3,0.757,0.0,0.0,0.0,0.0,0.0,0.0,0.593,0.4,0.156,0.365,0.402,0.064,0.432,0.178
Iga Swiatek,2025 Australian Open R16,W vsLys,2025,0.081,0.857,0.069,0.0,0.0,0.0,0.218,0.19,0.028,0.204,0.28,0.0,0.333,0.306,0.007,0.0,0.0,0.545,0.68,0.599,0.361,0.6,0.988,0.669,0.735,0.282,0.621,0.404
Iga Swiatek,2025 Australian Open R32,W vsRaducanu,2025,0.034,0.667,0.023,0.0,0.0,0.0,0.318,0.137,0.181,0.227,0.421,0.0,0.278,0.35,0.0,0.0,0.0,0.085,0.175,0.121,0.142,0.4,0.748,0.453,0.498,0.134,0.47,0.22
Iga Swiatek,2025 Australian Open R64,W vsSramkova,2025,0.053,1.0,0.053,0.0,0.0,0.0,0.099,0.143,0.044,0.121,0.043,0.5,0.4,0.472,0.0,0.0,0.0,0.0,0.0,0.0,0.384,0.4,0.246,0.351,0.386,0.064,0.375,0.164
Iga Swiatek,2025 Australian Open R128,W vsSiniakova,2025,0.045,0.8,0.036,0.0,0.0,0.0,0.233,0.104,0.129,0.168,0.5,0.0,0.182,0.341,0.006,0.0,0.0,0.0,0.015,0.006,0.247,0.4,0.46,0.387,0.426,0.08,0.394,0.171
Iga Swiatek,2025 United Cup F,L vsGauff,2025,0.085,0.909,0.077,0.0,0.0,0.0,0.155,0.098,0.057,0.126,0.345,0.0,0.214,0.279,0.0,0.0,0.0,0.29,0.285,0.288,0.553,0.4,0.892,0.578,0.52,0.16,0.513,0.275
Iga Swiatek,2025 United Cup SF,W vsRybakina,2025,0.064,0.8,0.051,0.0,0.0,0.0,0.2,0.089,0.111,0.145,0.321,0.0,0.105,0.213,0.0,0.0,0.0,0.175,0.16,0.169,0.392,0.4,0.887,0.544,0.599,0.124,0.487,0.234
Iga Swiatek,2025 United Cup QF,W vsBoulter,2025,0.039,0.625,0.024,0.0,0.0,0.0,0.141,0.105,0.036,0.123,0.262,0.0,0.433,0.348,0.003,0.0,0.0,0.0,0.0,0.0,0.285,0.4,0.331,0.356,0.392,0.057,0.362,0.152
Iga Swiatek,2025 United Cup RR,W vsMuchova,2025,0.09,0.769,0.069,0.0,0.0,0.0,0.16,0.167,0.007,0.163,0.19,0.5,0.417,0.554,0.0,0.0,0.0,0.085,0.095,0.089,0.477,0.4,0.42,0.421,0.464,0.113,0.448,0.213
Iga Swiatek,2025 United Cup RR,W vsHelgo,2025,0.012,1.0,0.012,0.0,0.0,0.0,0.387,0.286,0.101,0.336,0.75,1.0,0.5,1.125,0.0,0.0,0.0,1.0,1.0,1.0,0.035,0.6,0.827,0.555,0.61,0.438,0.765,0.535
Iga Swiatek,2024 BJK Cup SF,W vsPaolini,2024,0.062,0.692,0.043,0.0,0.0,0.0,0.168,0.136,0.032,0.152,0.226,0.0,0.278,0.252,0.0,0.0,0.0,0.55,0.505,0.532,0.365,0.6,0.989,0.67,0.737,0.233,0.608,0.37
Iga Swiatek,2024 BJK Cup QF,W vsNoskova,2024,0.058,0.833,0.048,0.0,0.0,0.0,0.162,0.064,0.098,0.113,0.345,0.0,0.125,0.235,0.0,0.0,0.0,0.0,0.045,0.018,0.439,0.4,0.489,0.435,0.478,0.065,0.385,0.168
Iga Swiatek,2024 BJK Cup R16,W vsBadosa,2024,0.073,0.857,0.063,0.0,0.0,0.0,0.152,0.067,0.085,0.11,0.26,0.0,0.118,0.189,0.006,0.5,0.003,0.315,0.16,0.253,0.545,0.6,0.946,0.693,0.762,0.138,0.59,0.299
Iga Swiatek,2024 Riyadh Finals RR,W vsKrejcikova,2024,0.058,1.0,0.058,0.0,0.0,0.0,0.145,0.215,0.07,0.18,0.217,0.0,0.5,0.358,0.0,0.0,0.0,0.5,0.58,0.532,0.296,0.6,0.959,0.647,0.712,0.249,0.623,0.382
Iga Swiatek,2024 Riyadh Finals RR,L vsGauff,2024,0.042,1.0,0.042,0.0,0.0,0.0,0.078,0.08,0.002,0.079,0.28,0.0,0.176,0.228,0.0,0.0,0.0,0.465,0.215,0.365,0.44,0.6,0.953,0.674,0.607,0.154,0.596,0.318
Iga Swiatek,2024 Riyadh Finals RR,W vsKasatkina,2024,0.054,0.75,0.041,0.0,0.0,0.0,0.189,0.268,0.079,0.228,0.167,0.0,0.4,0.284,0.0,0.0,0.0,0.6,0.605,0.602,0.223,0.6,0.993,0.642,0.707,0.284,0.61,0.396
Iga Swiatek,2024 US Open QF,L vsPegula,2024,0.061,0.571,0.035,0.0,0.0,0.0,0.089,0.113,0.024,0.101,0.167,0.0,0.188,0.178,0.0,0.0,0.0,0.175,0.13,0.157,0.5,0.4,0.88,0.564,0.508,0.098,0.481,0.22
Iga Swiatek,2024 US Open R16,W vsSamsonova,2024,0.046,1.0,0.046,0.0,0.0,0.0,0.091,0.125,0.034,0.108,0.091,0.0,0.364,0.227,0.0,0.0,0.0,0.035,0.1,0.061,0.371,0.4,0.612,0.458,0.504,0.075,0.414,0.184
Iga Swiatek,2024 US Open R32,W vsPavlyuchenkova,2024,0.055,0.667,0.037,0.0,0.0,0.0,0.31,0.216,0.094,0.263,0.5,0.0,0.625,0.562,0.0,0.0,0.0,0.095,0.29,0.173,0.199,0.4,0.642,0.432,0.476,0.168,0.497,0.248
Iga Swiatek,2024 US Open R128,W vsRakhimova,2024,0.056,0.75,0.042,0.0,0.0,0.0,0.19,0.127,0.063,0.158,0.36,0.0,0.467,0.414,0.0,0.0,0.0,0.665,0.51,0.603,0.321,0.6,0.947,0.648,0.713,0.257,0.635,0.395
Iga Swiatek,2024 Cincinnati SF,L vsSabalenka,2024,0.045,0.333,0.015,0.0,0.0,0.0,0.102,0.171,0.069,0.136,0.333,0.0,0.429,0.381,0.0,0.0,0.0,0.76,0.52,0.664,0.298,0.6,0.967,0.65,0.585,0.258,0.631,0.398
Iga Swiatek,2024 Cincinnati QF,W vsAndreeva,2024,0.05,0.7,0.035,0.0,0.0,0.0,0.198,0.112,0.086,0.155,0.333,0.0,0.25,0.292,0.0,0.0,0.0,0.31,0.38,0.338,0.294,0.6,0.927,0.637,0.701,0.174,0.597,0.319
Iga Swiatek,2024 Cincinnati R16,W vsKostyuk,2024,0.075,0.714,0.054,0.0,0.0,0.0,0.188,0.132,0.056,0.16,0.2,0.0,0.5,0.35,0.0,0.0,0.0,0.015,0.35,0.149,0.415,0.4,0.695,0.492,0.541,0.125,0.469,0.228
Iga Swiatek,2024 Cincinnati R32,W vsGracheva,2024,0.077,0.692,0.053,0.0,0.0,0.0,0.21,0.172,0.038,0.191,0.487,0.0,0.385,0.436,0.0,0.0,0.0,0.53,0.48,0.51,0.365,0.6,0.917,0.648,0.713,0.245,0.635,0.379
Iga Swiatek,2024 Paris Olympics BR,W vsSchmiedlova,2024,0.084,0.714,0.06,0.0,0.0,0.0,0.185,0.213,0.028,0.199,0.182,0.0,0.429,0.306,0.0,0.0,0.0,0.42,0.525,0.462,0.382,0.6,0.97,0.667,0.734,0.236,0.617,0.366
Iga Swiatek,2024 Paris Olympics SF,L vsZheng,2024,0.057,0.857,0.049,0.0,0.0,0.0,0.182,0.072,0.11,0.127,0.269,1.0,0.222,0.745,0.0,0.0,0.0,0.425,0.445,0.433,0.394,0.6,0.63,0.568,0.511,0.195,0.634,0.352
Iga Swiatek,2024 Paris Olympics QF,W vsCollins,2024,0.058,0.875,0.051,0.0,0.0,0.0,0.148,0.13,0.018,0.139,0.25,0.0,0.412,0.331,0.005,0.0,0.0,0.09,0.13,0.106,0.371,0.4,0.616,0.459,0.505,0.103,0.441,0.207
Iga Swiatek,2024 Paris Olympics R16,W vsWang,2024,0.033,0.75,0.025,0.0,0.0,0.0,0.238,0.077,0.161,0.158,0.286,0.111,0.118,0.258,0.0,0.0,0.0,0.18,0.015,0.114,0.195,0.4,0.768,0.469,0.516,0.105,0.455,0.207
Iga Swiatek,2024 Paris Olympics R32,W vsParry,2024,0.105,0.5,0.052,0.0,0.0,0.0,0.127,0.145,0.018,0.136,0.278,0.0,0.471,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.616,0.4,0.34,0.425,0.468,0.07,0.388,0.169
Iga Swiatek,2024 Paris Olympics R64,W vsBegu,2024,0.072,0.778,0.056,0.0,0.0,0.0,0.203,0.109,0.094,0.156,0.182,0.0,0.2,0.191,0.0,0.0,0.0,0.385,0.375,0.381,0.408,0.6,0.99,0.679,0.747,0.194,0.596,0.335
Iga Swiatek,2024 Wimbledon R32,L vsPutintseva,2024,0.08,0.538,0.043,0.0,0.0,0.0,0.151,0.186,0.035,0.168,0.283,0.0,0.286,0.285,0.004,0.0,0.0,0.49,0.44,0.47,0.42,0.6,0.974,0.676,0.609,0.221,0.615,0.359
Iga Swiatek,2024 Wimbledon R64,W vsMartic,2024,0.045,0.8,0.036,0.0,0.0,0.0,0.283,0.227,0.056,0.255,0.421,0.0,0.571,0.496,0.0,0.0,0.0,0.57,0.54,0.558,0.168,0.6,0.923,0.61,0.671,0.28,0.641,0.395
Iga Swiatek,2024 Wimbledon R128,W vsKenin,2024,0.044,0.8,0.035,0.0,0.0,0.0,0.186,0.147,0.039,0.166,0.556,0.0,0.4,0.478,0.0,0.0,0.0,0.57,0.57,0.57,0.244,0.6,0.907,0.621,0.683,0.248,0.636,0.386
Iga Swiatek,2024 Roland Garros F,W vsPaolini,2024,0.102,0.556,0.057,0.0,0.0,0.0,0.183,0.127,0.056,0.155,0.133,0.0,0.286,0.21,0.0,0.0,0.0,0.095,0.0,0.057,0.55,0.4,0.747,0.534,0.587,0.096,0.455,0.203
Iga Swiatek,2024 Roland Garros SF,W vsGauff,2024,0.04,0.4,0.016,0.0,0.0,0.0,0.081,0.111,0.03,0.096,0.167,0.0,0.111,0.139,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.4,0.568,0.442,0.487,0.043,0.379,0.151
Iga Swiatek,2024 Roland Garros QF,W vsVondrousova,2024,0.09,0.875,0.079,0.0,0.0,0.0,0.348,0.125,0.223,0.236,0.387,0.0,0.143,0.265,0.0,0.0,0.0,0.31,0.105,0.228,0.35,0.4,0.934,0.55,0.605,0.187,0.511,0.274
Iga Swiatek,2024 Roland Garros R16,W vsPotapova,2024,0.121,0.857,0.104,0.0,0.0,0.0,0.2,0.273,0.073,0.237,0.143,1.0,0.556,0.85,0.0,0.0,0.0,0.1,0.435,0.234,0.455,0.4,0.499,0.441,0.485,0.196,0.542,0.29
Iga Swiatek,2024 Roland Garros R32,W vsBouzkova,2024,0.084,0.889,0.075,0.0,0.0,0.0,0.214,0.159,0.055,0.186,0.174,0.333,0.353,0.43,0.0,0.0,0.0,0.26,0.115,0.202,0.403,0.4,0.708,0.493,0.542,0.158,0.492,0.256
Iga Swiatek,2024 Roland Garros R64,W vsOsaka,2024,0.063,0.857,0.054,0.0,0.0,0.0,0.18,0.101,0.079,0.14,0.306,0.0,0.2,0.253,0.0,0.0,0.0,0.0,0.0,0.0,0.396,0.4,0.489,0.426,0.468,0.072,0.387,0.169
Iga Swiatek,2024 Roland Garros R128,W vsJeanjean,2024,0.169,0.857,0.145,0.0,0.0,0.0,0.25,0.233,0.017,0.242,0.333,0.0,0.188,0.26,0.0,0.0,0.0,1.0,1.0,1.0,0.586,0.6,1.0,0.717,0.789,0.44,0.624,0.527
Iga Swiatek,2024 Rome F,W vsSabalenka,2024,0.036,1.0,0.036,0.0,0.0,0.0,0.213,0.123,0.09,0.168,0.556,0.0,0.381,0.468,0.0,0.0,0.0,0.0,0.005,0.002,0.2,0.4,0.341,0.342,0.376,0.079,0.391,0.169
Iga Swiatek,2024 Rome SF,W vsGauff,2024,0.109,0.8,0.087,0.0,0.0,0.0,0.205,0.122,0.083,0.163,0.391,0.0,0.158,0.274,0.0,0.0,0.0,0.0,0.0,0.0,0.557,0.4,0.519,0.467,0.514,0.092,0.409,0.187
Iga Swiatek,2024 Rome QF,W vsKeys,2024,0.067,0.857,0.057,0.0,0.0,0.0,0.206,0.128,0.078,0.167,0.125,1.0,0.25,0.688,0.007,1.0,0.007,0.755,0.815,0.779,0.361,0.8,0.872,0.734,0.807,0.318,0.77,0.496
Iga Swiatek,2024 Rome R16,W vsKerber,2024,0.092,0.5,0.046,0.0,0.0,0.0,0.224,0.203,0.021,0.214,0.375,0.1,0.364,0.42,0.004,0.0,0.0,0.435,0.265,0.367,0.39,0.6,0.874,0.64,0.704,0.209,0.62,0.342
Iga Swiatek,2024 Rome R32,W vsPutintseva,2024,0.09,0.75,0.068,0.0,0.0,0.0,0.256,0.081,0.175,0.168,0.375,1.0,0.19,0.782,0.0,0.0,0.0,0.435,0.28,0.373,0.465,0.6,0.594,0.571,0.628,0.2,0.637,0.349
Iga Swiatek,2024 Rome R64,W vsPera,2024,0.071,0.75,0.053,0.0,0.0,0.0,0.17,0.298,0.128,0.234,0.364,0.2,0.455,0.51,0.0,0.0,0.0,0.34,0.335,0.338,0.283,0.6,0.801,0.597,0.657,0.211,0.617,0.339
Iga Swiatek,2024 Madrid F,W vsSabalenka,2024,0.034,0.875,0.03,0.0,0.0,0.0,0.239,0.133,0.106,0.186,0.417,0.0,0.391,0.404,0.0,0.0,0.0,0.25,0.225,0.24,0.172,0.4,0.774,0.466,0.513,0.155,0.492,0.252
Iga Swiatek,2024 Madrid SF,W vsKeys,2024,0.063,0.833,0.052,0.0,0.0,0.0,0.167,0.141,0.026,0.154,0.273,0.0,0.6,0.436,0.0,0.0,0.0,0.0,0.0,0.0,0.366,0.4,0.332,0.373,0.41,0.077,0.389,0.171
Iga Swiatek,2024 Madrid QF,W vsHaddad Maia,2024,0.024,0.75,0.018,0.0,0.0,0.0,0.115,0.129,0.014,0.122,0.12,0.133,0.3,0.276,0.0,0.0,0.0,0.0,0.1,0.04,0.18,0.4,0.512,0.39,0.429,0.066,0.389,0.167
Iga Swiatek,2024 Madrid R16,W vsSorribes Tormo,2024,0.132,0.8,0.106,0.0,0.0,0.0,0.167,0.088,0.079,0.128,0.25,0.0,0.429,0.34,0.005,1.0,0.005,0.22,0.105,0.174,0.744,0.6,0.691,0.656,0.722,0.135,0.567,0.289
Iga Swiatek,2024 Madrid R32,W vsCirstea,2024,0.051,1.0,0.051,0.0,0.0,0.0,0.133,0.175,0.042,0.154,0.5,0.0,0.385,0.442,0.0,0.0,0.0,0.245,0.17,0.215,0.301,0.4,0.673,0.462,0.508,0.141,0.481,0.245
Iga Swiatek,2024 Madrid R64,W vsWang,2024,0.059,0.667,0.039,0.0,0.0,0.0,0.185,0.19,0.005,0.188,0.294,0.25,0.667,0.606,0.0,0.0,0.0,0.78,0.65,0.728,0.29,0.6,0.903,0.629,0.692,0.305,0.669,0.436
Iga Swiatek,2024 Stuttgart SF,L vsRybakina,2024,0.076,0.813,0.062,0.0,0.0,0.0,0.211,0.264,0.053,0.238,0.237,0.0,0.361,0.299,0.0,0.0,0.0,0.215,0.12,0.177,0.298,0.4,0.872,0.521,0.469,0.167,0.499,0.254
Iga Swiatek,2024 Stuttgart QF,W vsRaducanu,2024,0.06,0.778,0.047,0.0,0.0,0.0,0.248,0.193,0.055,0.22,0.419,0.0,0.314,0.366,0.0,0.0,0.0,0.425,0.25,0.355,0.255,0.6,0.91,0.624,0.686,0.209,0.61,0.338
Iga Swiatek,2024 Stuttgart R16,W vsMertens,2024,0.088,0.6,0.053,0.0,0.0,0.0,0.25,0.188,0.062,0.219,0.368,0.0,0.333,0.35,0.0,0.0,0.0,0.4,0.255,0.342,0.366,0.6,0.915,0.648,0.712,0.206,0.613,0.337
Iga Swiatek,2024 BJK Cup RR,W vsNaef,2024,0.102,0.909,0.093,0.0,0.0,0.0,0.197,0.074,0.123,0.136,0.323,0.0,0.143,0.233,0.0,0.0,0.0,0.285,0.3,0.291,0.605,0.4,0.942,0.604,0.664,0.169,0.518,0.282
Iga Swiatek,2024 BJK Cup RR,W vsWaltert,2024,0.114,0.75,0.086,0.0,0.0,0.0,0.182,0.097,0.085,0.139,0.25,0.0,0.214,0.232,0.0,0.0,0.0,0.215,0.195,0.207,0.643,0.4,0.892,0.596,0.656,0.144,0.505,0.258
