Player,Year,Overall_RiP,Matches,Return_In_Play_Rate,Return_Win_Efficiency,Return_Aggression,Return_Forehand_Ratio,Return_Depth_Index,Return_Defense_Rate,First_Serve_Return_Quality,Second_Serve_Return_Quality,Serve_Return_Adaptability,Return_Consistency,Return_Tactical_Balance,Return_Positioning_Intelligence,Service_Type_Adaptability,Defensive_Versatility,Return_Match_Impact,Overall_Return_Game
Elina Svitolina,2019,0.786,44,0.786,0.497,0.052,0.565,2.541,0.115,0.511,0.594,0.548,0.587,0.464,1.513,0.831,0.099,0.57,0.494
Elina Svitolina,2020,0.79,10,0.79,0.5,0.05,0.477,2.379,0.047,0.512,0.591,0.547,0.811,0.586,1.42,0.842,0.041,0.572,0.519
Elina Svitolina,2021,0.784,30,0.784,0.505,0.063,0.566,2.303,0.106,0.506,0.608,0.552,0.629,0.558,1.37,0.813,0.094,0.568,0.517
Elina Svitolina,2022,0.665,3,0.665,0.511,0.075,0.333,1.563,0.038,0.439,0.599,0.512,0.797,0.89,0.91,0.733,0.033,0.498,0.552
Elina Svitolina,2023,0.763,11,0.763,0.516,0.061,0.473,2.486,0.085,0.524,0.594,0.554,0.661,0.635,1.464,0.856,0.063,0.583,0.531
Elina Svitolina,2024,0.733,18,0.733,0.5,0.051,0.484,2.336,0.098,0.477,0.586,0.526,0.668,0.505,1.35,0.802,0.089,0.53,0.487
Elina Svitolina,2025,0.765,16,0.765,0.506,0.074,0.345,2.396,0.119,0.489,0.614,0.546,0.657,0.613,1.41,0.781,0.105,0.556,0.524
Emma Navarro,2021,0.698,1,0.698,0.364,0.016,1.0,2.56,0.02,0.456,0.585,0.515,0.289,0.488,1.449,0.773,0.022,0.463,0.441
Emma Navarro,2022,0.782,2,0.782,0.471,0.1,0.579,2.465,0.027,0.499,0.678,0.581,0.75,0.91,1.464,0.699,0.021,0.578,0.593
Emma Navarro,2023,0.693,7,0.693,0.556,0.083,0.535,2.126,0.067,0.524,0.561,0.539,0.803,0.733,1.228,0.824,0.061,0.551,0.543
Emma Navarro,2024,0.717,28,0.717,0.518,0.058,0.486,2.512,0.064,0.489,0.579,0.529,0.667,0.541,1.437,0.838,0.051,0.536,0.496
Emma Navarro,2025,0.75,10,0.75,0.565,0.083,0.438,2.507,0.049,0.53,0.642,0.581,0.634,0.757,1.461,0.786,0.037,0.586,0.572
Iga Swiatek,2018,0.669,2,0.669,0.662,0.075,0.625,2.465,0.031,0.471,0.698,0.576,0.743,0.728,1.376,0.638,0.036,0.634,0.567
Iga Swiatek,2019,0.66,13,0.66,0.57,0.096,0.509,2.519,0.081,0.492,0.591,0.537,0.704,0.656,1.392,0.812,0.077,0.51,0.526
Iga Swiatek,2020,0.751,13,0.751,0.625,0.054,0.493,2.379,0.072,0.542,0.65,0.59,0.693,0.584,1.388,0.804,0.063,0.623,0.548
Iga Swiatek,2021,0.696,37,0.696,0.552,0.045,0.438,2.437,0.07,0.485,0.593,0.534,0.634,0.614,1.379,0.809,0.066,0.554,0.513
Iga Swiatek,2022,0.751,76,0.751,0.617,0.054,0.517,2.41,0.049,0.549,0.625,0.582,0.625,0.633,1.404,0.837,0.041,0.628,0.554
Iga Swiatek,2023,0.74,78,0.74,0.625,0.041,0.555,2.508,0.076,0.533,0.638,0.58,0.613,0.505,1.454,0.812,0.065,0.624,0.525
Iga Swiatek,2024,0.744,71,0.744,0.593,0.049,0.539,2.464,0.075,0.534,0.606,0.566,0.542,0.524,1.432,0.831,0.06,0.61,0.521
Iga Swiatek,2025,0.713,46,0.713,0.596,0.07,0.425,2.372,0.094,0.524,0.604,0.559,0.602,0.616,1.354,0.834,0.078,0.591,0.535
Jasmine Paolini,2016,0.822,2,0.822,0.526,0.048,0.1,2.4,0.014,0.53,0.621,0.571,0.659,0.962,1.457,0.839,0.015,0.572,0.612
Jasmine Paolini,2019,0.634,2,0.634,0.445,0.118,0.444,2.54,0.021,0.41,0.605,0.5,0.522,0.997,1.376,0.683,0.018,0.45,0.558
Jasmine Paolini,2020,0.754,4,0.754,0.56,0.055,0.462,2.58,0.042,0.527,0.596,0.557,0.722,0.666,1.503,0.876,0.032,0.531,0.543
Jasmine Paolini,2021,0.761,8,0.761,0.538,0.049,0.348,2.491,0.052,0.51,0.609,0.554,0.652,0.611,1.465,0.829,0.049,0.571,0.528
Jasmine Paolini,2022,0.705,5,0.705,0.47,0.06,0.24,2.552,0.035,0.465,0.541,0.499,0.75,0.722,1.45,0.802,0.032,0.488,0.513
Jasmine Paolini,2023,0.74,6,0.74,0.491,0.07,0.518,2.422,0.031,0.492,0.578,0.53,0.613,0.836,1.402,0.829,0.024,0.497,0.557
Jasmine Paolini,2024,0.743,39,0.743,0.556,0.07,0.452,2.544,0.079,0.518,0.592,0.551,0.69,0.638,1.477,0.849,0.065,0.566,0.536
Jasmine Paolini,2025,0.723,17,0.723,0.552,0.103,0.439,2.582,0.038,0.52,0.615,0.562,0.517,0.864,1.482,0.8,0.032,0.57,0.584
Jessica Pegula,2015,0.643,2,0.643,0.523,0.039,0.5,2.49,0.032,0.406,0.584,0.489,0.645,0.719,1.363,0.701,0.028,0.487,0.505
Jessica Pegula,2016,0.633,1,0.633,0.579,0.15,0.444,2.48,0.019,0.529,0.545,0.534,0.487,1.0,1.35,0.968,0.019,0.481,0.598
Jessica Pegula,2018,0.718,2,0.718,0.512,0.049,0.625,2.62,0.105,0.526,0.499,0.511,0.803,0.399,1.501,0.891,0.094,0.511,0.461
Jessica Pegula,2019,0.662,5,0.662,0.591,0.071,0.503,2.628,0.059,0.485,0.602,0.538,0.643,0.748,1.455,0.794,0.052,0.55,0.545
Jessica Pegula,2020,0.713,5,0.713,0.497,0.07,0.425,2.536,0.068,0.494,0.544,0.515,0.638,0.65,1.448,0.859,0.058,0.527,0.511
Jessica Pegula,2021,0.657,15,0.657,0.517,0.09,0.537,2.525,0.079,0.461,0.591,0.52,0.604,0.763,1.392,0.779,0.072,0.512,0.531
Jessica Pegula,2022,0.711,17,0.711,0.537,0.075,0.406,2.566,0.099,0.51,0.577,0.539,0.51,0.653,1.463,0.855,0.095,0.526,0.526
Jessica Pegula,2023,0.717,31,0.717,0.566,0.076,0.556,2.587,0.073,0.518,0.605,0.557,0.581,0.717,1.481,0.816,0.065,0.573,0.551
Jessica Pegula,2024,0.686,27,0.686,0.534,0.074,0.58,2.54,0.091,0.489,0.571,0.525,0.657,0.636,1.426,0.834,0.078,0.533,0.514
Jessica Pegula,2025,0.731,18,0.731,0.55,0.061,0.656,2.612,0.087,0.516,0.585,0.546,0.644,0.527,1.505,0.855,0.07,0.562,0.507
Karolina Muchova,2018,0.731,1,0.731,0.544,0.032,0.333,2.44,0.037,0.467,0.601,0.528,0.887,0.592,1.408,0.766,0.035,0.581,0.51
Karolina Muchova,2019,0.734,22,0.734,0.515,0.051,0.451,2.403,0.113,0.498,0.579,0.534,0.67,0.441,1.389,0.822,0.099,0.55,0.479
Karolina Muchova,2020,0.734,7,0.734,0.448,0.044,0.421,2.293,0.158,0.467,0.537,0.498,0.597,0.479,1.327,0.837,0.144,0.479,0.463
Karolina Muchova,2021,0.727,11,0.727,0.53,0.053,0.494,2.359,0.096,0.516,0.554,0.532,0.593,0.598,1.357,0.886,0.089,0.557,0.512
Karolina Muchova,2022,0.755,7,0.755,0.451,0.055,0.514,2.493,0.119,0.476,0.539,0.504,0.677,0.483,1.458,0.879,0.1,0.5,0.472
Karolina Muchova,2023,0.746,23,0.746,0.561,0.047,0.505,2.436,0.082,0.55,0.562,0.553,0.614,0.514,1.418,0.895,0.069,0.577,0.509
Karolina Muchova,2024,0.718,11,0.718,0.501,0.059,0.431,2.345,0.097,0.489,0.574,0.527,0.585,0.536,1.345,0.836,0.087,0.542,0.492
Karolina Muchova,2025,0.705,9,0.705,0.485,0.059,0.606,2.476,0.05,0.46,0.579,0.514,0.62,0.677,1.408,0.791,0.042,0.489,0.511
Madison Keys,2014,0.699,8,0.699,0.566,0.045,0.711,2.186,0.074,0.515,0.563,0.535,0.647,0.498,1.237,0.86,0.079,0.552,0.493
Madison Keys,2015,0.679,17,0.679,0.571,0.044,0.469,2.396,0.096,0.481,0.596,0.533,0.558,0.442,1.341,0.795,0.089,0.557,0.478
Madison Keys,2016,0.668,12,0.668,0.507,0.042,0.568,2.452,0.039,0.482,0.519,0.497,0.618,0.578,1.362,0.894,0.033,0.481,0.481
Madison Keys,2017,0.68,7,0.68,0.558,0.032,0.702,2.421,0.121,0.499,0.551,0.521,0.635,0.457,1.356,0.866,0.107,0.545,0.474
Madison Keys,2018,0.698,11,0.698,0.534,0.041,0.658,2.464,0.094,0.485,0.576,0.526,0.617,0.409,1.393,0.841,0.086,0.524,0.466
Madison Keys,2019,0.68,14,0.68,0.521,0.043,0.609,2.424,0.153,0.468,0.584,0.52,0.636,0.373,1.356,0.798,0.14,0.546,0.451
Madison Keys,2020,0.648,3,0.648,0.512,0.025,0.75,2.577,0.086,0.48,0.481,0.478,0.54,0.246,1.413,0.976,0.076,0.463,0.404
Madison Keys,2021,0.637,4,0.637,0.504,0.053,0.804,2.395,0.196,0.452,0.527,0.485,0.679,0.301,1.307,0.866,0.184,0.461,0.418
Madison Keys,2022,0.679,8,0.679,0.539,0.043,0.788,1.836,0.166,0.468,0.574,0.516,0.677,0.424,1.024,0.802,0.151,0.534,0.464
Madison Keys,2023,0.69,11,0.69,0.576,0.039,0.585,2.44,0.14,0.498,0.581,0.535,0.685,0.33,1.375,0.845,0.102,0.542,0.459
Madison Keys,2024,0.724,10,0.724,0.532,0.052,0.635,2.462,0.129,0.488,0.598,0.538,0.602,0.419,1.416,0.806,0.093,0.541,0.477
Madison Keys,2025,0.663,17,0.663,0.577,0.059,0.587,2.502,0.115,0.498,0.56,0.525,0.627,0.498,1.386,0.858,0.091,0.549,0.488
Mirra Andreeva,2022,0.772,1,0.772,0.462,0.059,0.167,2.59,0.0,0.498,0.583,0.536,0.98,1.0,1.53,0.843,0.0,0.482,0.59
Mirra Andreeva,2023,0.783,10,0.783,0.504,0.051,0.48,2.462,0.058,0.512,0.572,0.538,0.676,0.552,1.466,0.851,0.05,0.554,0.51
Mirra Andreeva,2024,0.789,23,0.789,0.543,0.045,0.435,2.397,0.092,0.532,0.588,0.556,0.636,0.571,1.427,0.888,0.075,0.567,0.526
Mirra Andreeva,2025,0.758,44,0.758,0.552,0.046,0.468,2.287,0.114,0.522,0.6,0.557,0.639,0.379,1.341,0.829,0.099,0.587,0.484
Paula Badosa,2015,0.813,1,0.813,0.333,0.083,0.75,2.32,0.059,0.494,0.502,0.495,0.787,0.835,1.402,0.983,0.059,0.446,0.532
Paula Badosa,2019,0.758,5,0.758,0.44,0.042,0.7,2.454,0.084,0.476,0.543,0.505,0.709,0.517,1.437,0.855,0.071,0.5,0.476
Paula Badosa,2020,0.715,5,0.715,0.464,0.047,0.626,2.62,0.056,0.469,0.56,0.51,0.72,0.589,1.496,0.838,0.04,0.481,0.488
Paula Badosa,2021,0.756,21,0.756,0.504,0.062,0.62,2.352,0.095,0.492,0.597,0.54,0.707,0.564,1.376,0.8,0.08,0.554,0.509
Paula Badosa,2022,0.74,20,0.74,0.488,0.058,0.417,2.471,0.089,0.478,0.587,0.527,0.657,0.591,1.43,0.803,0.076,0.541,0.504
Paula Badosa,2023,0.736,4,0.736,0.517,0.056,0.601,2.482,0.106,0.507,0.554,0.527,0.583,0.502,1.433,0.909,0.101,0.502,0.491
Paula Badosa,2024,0.741,17,0.741,0.523,0.054,0.628,2.392,0.103,0.506,0.589,0.543,0.602,0.48,1.386,0.844,0.092,0.543,0.493
Paula Badosa,2025,0.746,9,0.746,0.519,0.063,0.577,2.501,0.123,0.515,0.577,0.542,0.62,0.501,1.458,0.873,0.117,0.563,0.498
Qinwen Zheng,2021,0.75,1,0.75,0.571,0.0,0.5,2.28,0.143,0.574,0.481,0.527,0.468,0.0,1.33,0.831,0.188,0.58,0.396
Qinwen Zheng,2022,0.687,13,0.687,0.511,0.049,0.447,2.389,0.102,0.47,0.553,0.507,0.64,0.457,1.343,0.846,0.109,0.491,0.465
Qinwen Zheng,2023,0.713,18,0.713,0.549,0.056,0.575,1.876,0.115,0.486,0.595,0.535,0.735,0.552,1.06,0.795,0.126,0.545,0.505
Qinwen Zheng,2024,0.712,41,0.712,0.577,0.078,0.471,2.396,0.139,0.504,0.613,0.553,0.577,0.537,1.367,0.806,0.148,0.582,0.515
Qinwen Zheng,2025,0.759,11,0.759,0.533,0.077,0.409,2.366,0.145,0.52,0.598,0.554,0.608,0.483,1.387,0.844,0.14,0.561,0.505
Tatjana Maria,2015,0.837,3,0.837,0.529,0.039,0.667,2.433,0.056,0.592,0.587,0.587,0.643,0.427,1.49,0.892,0.086,0.646,0.511
Tatjana Maria,2017,0.8,4,0.8,0.416,0.08,0.719,2.408,0.038,0.465,0.617,0.534,0.557,0.729,1.447,0.74,0.045,0.481,0.535
Tatjana Maria,2018,0.792,6,0.792,0.478,0.057,0.653,2.278,0.106,0.482,0.601,0.536,0.748,0.527,1.36,0.797,0.101,0.54,0.502
Tatjana Maria,2019,0.81,2,0.81,0.494,0.025,0.375,2.445,0.034,0.535,0.557,0.543,0.851,0.334,1.472,0.868,0.028,0.488,0.467
Tatjana Maria,2021,0.802,1,0.802,0.506,0.01,0.0,0.0,0.278,0.565,0.6,0.579,1.0,0.035,0.0,0.931,0.256,0.521,0.415
Tatjana Maria,2022,0.809,7,0.809,0.471,0.037,0.688,1.779,0.226,0.519,0.558,0.535,0.76,0.202,1.069,0.912,0.218,0.561,0.436
Tatjana Maria,2023,0.798,6,0.798,0.428,0.049,0.556,2.458,0.13,0.517,0.512,0.512,0.625,0.423,1.474,0.896,0.114,0.499,0.465
Tatjana Maria,2024,0.877,1,0.877,0.49,0.07,1.0,2.53,0.049,0.578,0.518,0.546,0.571,0.829,1.583,0.887,0.048,0.601,0.586
Tatjana Maria,2025,0.815,3,0.815,0.436,0.082,0.698,2.483,0.057,0.492,0.634,0.557,0.533,0.643,1.503,0.756,0.053,0.541,0.53
