Player,Match,Result,Year,Return_In_Play_Rate,Return_Win_Efficiency,Return_Aggression,Return_Forehand_Ratio,Return_Depth_Index,Return_Defense_Rate,First_Serve_Return_Quality,Second_Serve_Return_Quality,Serve_Return_Adaptability,Return_Consistency,Return_Tactical_Balance,Return_Positioning_Intelligence,Service_Type_Adaptability,Defensive_Versatility,Return_Match_Impact,Overall_Return_Game
Iga Swiatek,2025 United Cup QF,W vsBoulter,2025,0.757,0.551,0.117,0.5,2.31,0.129,0.524,0.623,0.568,0.67,0.687,1.353,0.82,0.1,0.625,0.559
Iga Swiatek,2025 United Cup RR,W vsMuchova,2025,0.683,0.605,0.159,0.6,2.67,0.123,0.565,0.577,0.568,0.923,0.832,1.498,0.977,0.114,0.625,0.59
Iga Swiatek,2025 United Cup RR,W vsHelgo,2025,0.681,0.813,0.064,0.0,2.36,0.0,0.581,0.707,0.638,0.138,1.0,1.322,0.777,0.0,0.701,0.668
Iga Swiatek,2024 BJK Cup SF,W vsPaolini,2024,0.733,0.514,0.05,0.4,2.48,0.041,0.461,0.601,0.525,0.698,0.753,1.433,0.756,0.03,0.578,0.539
Iga Swiatek,2024 BJK Cup QF,W vsNoskova,2024,0.645,0.493,0.065,0.571,2.55,0.117,0.459,0.531,0.491,0.905,0.471,1.398,0.866,0.094,0.54,0.454
Iga Swiatek,2024 BJK Cup R16,W vsBadosa,2024,0.725,0.608,0.02,0.0,2.27,0.056,0.518,0.593,0.551,0.111,0.294,1.305,0.861,0.039,0.606,0.466
Iga Swiatek,2024 Riyadh Finals RR,W vsKrejcikova,2024,0.698,0.552,0.063,0.5,2.83,0.091,0.508,0.57,0.535,0.34,0.554,1.602,0.883,0.078,0.588,0.504
Iga Swiatek,2024 Riyadh Finals RR,L vsGauff,2024,0.577,0.463,0.042,0.0,2.56,0.034,0.467,0.473,0.468,0.391,0.742,1.346,0.989,0.025,0.421,0.48
Iga Swiatek,2024 Riyadh Finals RR,W vsKasatkina,2024,0.686,0.833,0.057,0.0,3.1,0.25,0.679,0.613,0.645,0.835,0.216,1.742,0.875,0.231,0.709,0.517
Iga Swiatek,2024 US Open QF,L vsPegula,2024,0.833,0.356,0.093,0.6,2.57,0.043,0.469,0.573,0.516,0.458,0.942,1.57,0.812,0.03,0.464,0.569
Iga Swiatek,2024 US Open R16,W vsSamsonova,2024,0.745,0.537,0.018,0.0,2.75,0.0,0.547,0.523,0.533,0.468,0.947,1.6,0.953,0.0,0.586,0.582
Iga Swiatek,2024 US Open R32,W vsPavlyuchenkova,2024,0.721,0.614,0.049,0.333,2.38,0.067,0.527,0.577,0.548,0.432,0.562,1.365,0.905,0.048,0.603,0.524
Iga Swiatek,2024 US Open R128,W vsRakhimova,2024,0.662,0.471,0.013,1.0,2.43,0.043,0.47,0.482,0.474,1.0,0.24,1.346,0.977,0.037,0.521,0.395
Iga Swiatek,2024 Cincinnati SF,L vsSabalenka,2024,0.667,0.571,0.095,0.333,2.54,0.082,0.468,0.574,0.516,0.631,0.775,1.411,0.809,0.074,0.465,0.546
Iga Swiatek,2024 Cincinnati QF,W vsAndreeva,2024,0.642,0.514,0.037,0.75,2.53,0.161,0.443,0.541,0.487,0.698,0.213,1.385,0.822,0.136,0.536,0.401
Iga Swiatek,2024 Cincinnati R16,W vsKostyuk,2024,0.755,0.676,0.041,0.5,2.38,0.083,0.577,0.645,0.606,0.113,0.414,1.392,0.871,0.05,0.667,0.527
Iga Swiatek,2024 Cincinnati R32,W vsGracheva,2024,0.747,0.632,0.0,0.5,2.91,0.038,0.556,0.595,0.572,0.595,0.0,1.695,0.925,0.036,0.629,0.419
Iga Swiatek,2024 Paris Olympics BR,W vsSchmiedlova,2024,0.744,0.688,0.0,0.5,2.06,0.154,0.609,0.569,0.587,0.391,0.0,1.198,0.923,0.106,0.646,0.433
Iga Swiatek,2024 Paris Olympics SF,L vsZheng,2024,0.677,0.595,0.016,1.0,2.75,0.023,0.487,0.583,0.53,0.517,0.45,1.537,0.825,0.016,0.477,0.479
Iga Swiatek,2024 Paris Olympics QF,W vsCollins,2024,0.731,0.571,0.09,0.5,2.64,0.0,0.463,0.667,0.557,0.507,1.0,1.523,0.665,0.0,0.613,0.613
Iga Swiatek,2024 Paris Olympics R16,W vsWang,2024,0.765,0.59,0.02,1.0,2.3,0.048,0.531,0.583,0.553,0.468,0.332,1.353,0.902,0.036,0.608,0.479
Iga Swiatek,2024 Paris Olympics R32,W vsParry,2024,0.759,0.659,0.034,1.0,2.17,0.276,0.54,0.685,0.606,0.1,0.118,1.272,0.748,0.258,0.666,0.464
Iga Swiatek,2024 Paris Olympics R64,W vsBegu,2024,0.712,0.638,0.0,0.5,2.16,0.024,0.54,0.62,0.575,0.383,0.0,1.233,0.851,0.02,0.633,0.414
Iga Swiatek,2024 Wimbledon R32,L vsPutintseva,2024,0.765,0.415,0.071,0.667,2.44,0.138,0.499,0.513,0.503,0.538,0.446,1.436,0.972,0.12,0.453,0.462
Iga Swiatek,2024 Wimbledon R64,W vsMartic,2024,0.625,0.571,0.054,0.333,2.08,0.091,0.414,0.63,0.514,0.106,0.489,1.127,0.65,0.065,0.566,0.474
Iga Swiatek,2024 Wimbledon R128,W vsKenin,2024,0.661,0.568,0.089,0.0,2.58,0.069,0.48,0.695,0.579,0.391,0.81,1.428,0.651,0.07,0.637,0.566
Iga Swiatek,2024 Roland Garros F,W vsPaolini,2024,0.848,0.667,0.022,1.0,2.19,0.088,0.63,0.618,0.621,0.517,0.221,1.349,0.976,0.068,0.683,0.506
Iga Swiatek,2024 Roland Garros SF,W vsGauff,2024,0.778,0.551,0.032,0.0,2.23,0.0,0.479,0.646,0.556,0.56,0.997,1.322,0.715,0.0,0.611,0.609
Iga Swiatek,2024 Roland Garros QF,W vsVondrousova,2024,0.82,0.61,0.06,0.667,2.48,0.371,0.588,0.667,0.622,0.228,0.156,1.505,0.855,0.271,0.685,0.482
Iga Swiatek,2024 Roland Garros R16,W vsPotapova,2024,0.903,0.821,0.065,0.0,2.39,0.0,0.694,0.729,0.707,0.141,1.0,1.516,0.932,0.0,0.778,0.731
Iga Swiatek,2024 Roland Garros R32,W vsBouzkova,2024,0.845,0.51,0.034,0.5,2.37,0.0,0.543,0.65,0.591,0.468,0.998,1.458,0.808,0.0,0.65,0.623
Iga Swiatek,2024 Roland Garros R64,W vsOsaka,2024,0.694,0.507,0.065,0.857,2.44,0.021,0.432,0.619,0.519,0.869,0.97,1.378,0.689,0.022,0.57,0.574
Iga Swiatek,2024 Roland Garros R128,W vsJeanjean,2024,0.826,0.632,0.043,0.0,2.37,0.192,0.573,0.689,0.625,0.432,0.21,1.443,0.793,0.147,0.688,0.496
Iga Swiatek,2024 Rome F,W vsSabalenka,2024,0.796,0.581,0.019,1.0,2.68,0.079,0.536,0.614,0.571,0.923,0.21,1.604,0.856,0.079,0.628,0.463
Iga Swiatek,2024 Rome SF,W vsGauff,2024,0.711,0.61,0.0,0.5,2.17,0.025,0.493,0.608,0.545,0.407,0.0,1.238,0.795,0.02,0.599,0.4
Iga Swiatek,2024 Rome QF,W vsKeys,2024,0.756,0.516,0.024,1.0,2.57,0.026,0.529,0.553,0.538,0.771,0.583,1.504,0.952,0.019,0.591,0.509
Iga Swiatek,2024 Rome R16,W vsKerber,2024,0.71,0.531,0.029,0.5,2.39,0.08,0.519,0.552,0.532,0.172,0.312,1.362,0.938,0.052,0.585,0.448
Iga Swiatek,2024 Rome R32,W vsPutintseva,2024,0.754,0.522,0.016,0.0,2.55,0.0,0.48,0.683,0.574,0.756,0.922,1.491,0.666,0.0,0.631,0.585
Iga Swiatek,2024 Rome R64,W vsPera,2024,0.77,0.66,0.115,0.857,2.94,0.135,0.571,0.716,0.637,0.869,0.66,1.735,0.749,0.13,0.7,0.594
Iga Swiatek,2024 Madrid F,W vsSabalenka,2024,0.703,0.53,0.017,1.0,2.7,0.059,0.465,0.565,0.51,0.538,0.242,1.533,0.818,0.046,0.561,0.425
Iga Swiatek,2024 Madrid SF,W vsKeys,2024,0.778,0.657,0.022,1.0,2.2,0.024,0.555,0.636,0.59,0.607,0.57,1.304,0.851,0.017,0.649,0.552
Iga Swiatek,2024 Madrid QF,W vsHaddad Maia,2024,0.792,0.605,0.042,0.25,2.37,0.0,0.612,0.533,0.572,0.361,1.0,1.416,0.855,0.0,0.629,0.629
Iga Swiatek,2024 Madrid R16,W vsSorribes Tormo,2024,0.868,0.758,0.0,0.5,2.5,0.0,0.701,0.573,0.637,1.0,0.0,1.557,0.775,0.0,0.701,0.484
Iga Swiatek,2024 Madrid R32,W vsCirstea,2024,0.887,0.617,0.057,0.0,2.68,0.028,0.588,0.667,0.622,0.527,0.905,1.686,0.854,0.022,0.684,0.646
Iga Swiatek,2024 Madrid R64,W vsWang,2024,0.694,0.706,0.02,1.0,2.57,0.028,0.609,0.4,0.507,0.819,0.483,1.451,0.658,0.022,0.558,0.506
Iga Swiatek,2024 Stuttgart SF,L vsRybakina,2024,0.676,0.521,0.086,0.444,2.35,0.036,0.467,0.582,0.519,0.771,0.954,1.313,0.795,0.029,0.467,0.573
Iga Swiatek,2024 Stuttgart QF,W vsRaducanu,2024,0.807,0.535,0.045,0.25,2.37,0.067,0.509,0.634,0.566,0.887,0.526,1.428,0.779,0.05,0.623,0.522
Iga Swiatek,2024 Stuttgart R16,W vsMertens,2024,0.776,0.605,0.061,1.0,2.37,0.1,0.57,0.592,0.577,0.712,0.504,1.403,0.957,0.094,0.635,0.53
Iga Swiatek,2024 BJK Cup RR,W vsNaef,2024,0.857,0.563,0.054,1.0,2.51,0.0,0.558,0.639,0.593,0.571,1.0,1.554,0.851,0.0,0.653,0.64
Iga Swiatek,2024 BJK Cup RR,W vsWaltert,2024,0.788,0.683,0.038,0.0,2.36,0.105,0.558,0.689,0.617,0.295,0.319,1.407,0.77,0.08,0.679,0.518
Iga Swiatek,2024 Miami R16,L vsAlexandrova,2024,0.586,0.412,0.103,1.0,2.6,0.027,0.421,0.469,0.442,0.56,0.992,1.375,0.908,0.022,0.398,0.524
Iga Swiatek,2024 Miami R32,W vsNoskova,2024,0.758,0.48,0.04,0.75,2.46,0.113,0.488,0.553,0.516,0.415,0.314,1.442,0.878,0.075,0.568,0.446
Iga Swiatek,2024 Miami R64,W vsGiorgi,2024,0.667,0.531,0.042,0.0,2.27,0.103,0.522,0.64,0.575,0.44,0.355,1.261,0.789,0.088,0.633,0.461
Iga Swiatek,2024 Indian Wells F,W vsSakkari,2024,0.864,0.632,0.023,0.0,2.58,0.074,0.606,0.625,0.612,0.267,0.267,1.603,0.963,0.056,0.674,0.509
Iga Swiatek,2024 Indian Wells SF,W vsKostyuk,2024,0.769,0.6,0.038,0.5,2.54,0.091,0.515,0.653,0.578,0.756,0.359,1.498,0.76,0.062,0.635,0.496
Iga Swiatek,2024 Indian Wells R16,W vsPutintseva,2024,0.772,0.682,0.053,0.667,2.52,0.129,0.642,0.566,0.603,0.607,0.364,1.488,0.858,0.12,0.663,0.522
Iga Swiatek,2024 Indian Wells R32,W vsNoskova,2024,0.578,0.731,0.022,1.0,2.48,0.125,0.585,0.541,0.561,0.44,0.162,1.304,0.915,0.09,0.618,0.438
Iga Swiatek,2024 Indian Wells R64,W vsCollins,2024,0.659,0.586,0.045,1.0,2.63,0.027,0.579,0.552,0.563,0.771,0.839,1.454,0.949,0.019,0.62,0.564
Iga Swiatek,2024 Dubai SF,L vsKalinskaya,2024,0.676,0.6,0.054,0.5,2.44,0.14,0.493,0.575,0.53,0.644,0.345,1.363,0.849,0.124,0.477,0.465
Iga Swiatek,2024 Dubai QF,W vsZheng,2024,0.717,0.576,0.13,0.667,2.48,0.178,0.424,0.659,0.533,0.383,0.599,1.419,0.625,0.143,0.587,0.531
Iga Swiatek,2024 Dubai R16,W vsSvitolina,2024,0.769,0.675,0.0,0.5,2.63,0.116,0.518,0.675,0.59,0.125,0.0,1.551,0.731,0.092,0.649,0.436
Iga Swiatek,2024 Dubai R32,W vsStephens,2024,0.875,0.543,0.0,0.5,2.32,0.085,0.574,0.601,0.584,0.942,0.0,1.45,0.947,0.074,0.643,0.43
Iga Swiatek,2024 Doha F,W vsRybakina,2024,0.769,0.617,0.051,0.5,2.41,0.015,0.521,0.631,0.57,0.353,0.967,1.421,0.802,0.01,0.627,0.621
Iga Swiatek,2024 Doha QF,W vsAzarenka,2024,0.767,0.636,0.116,0.8,2.33,0.0,0.581,0.658,0.615,0.98,1.0,1.372,0.857,0.0,0.676,0.652
Iga Swiatek,2024 Doha R16,W vsAlexandrova,2024,0.725,0.541,0.098,0.8,2.57,0.0,0.601,0.462,0.532,0.295,1.0,1.478,0.757,0.0,0.585,0.601
Iga Swiatek,2024 Doha R32,W vsCirstea,2024,0.82,0.707,0.0,0.5,2.76,0.12,0.594,0.641,0.613,0.289,0.0,1.674,0.911,0.083,0.675,0.459
Iga Swiatek,2024 Australian Open R32,L vsNoskova,2024,0.57,0.561,0.04,0.5,2.44,0.106,0.424,0.579,0.496,0.644,0.332,1.277,0.733,0.083,0.446,0.422
Iga Swiatek,2024 Australian Open R64,W vsCollins,2024,0.709,0.603,0.155,0.471,2.47,0.06,0.519,0.661,0.584,0.712,0.976,1.407,0.754,0.046,0.642,0.627
Iga Swiatek,2024 Australian Open R128,W vsKenin,2024,0.708,0.608,0.139,0.4,2.33,0.083,0.52,0.668,0.587,0.756,0.904,1.327,0.743,0.078,0.646,0.612
Iga Swiatek,2024 United Cup F,W vsKerber,2024,0.833,0.629,0.071,0.667,1.97,0.023,0.593,0.615,0.6,0.458,0.973,1.204,0.957,0.014,0.66,0.648
Iga Swiatek,2024 United Cup SF,W vsGarcia,2024,0.758,0.6,0.152,0.7,2.52,0.118,0.53,0.697,0.607,0.247,0.83,1.477,0.715,0.077,0.667,0.612
Iga Swiatek,2024 United Cup QF,W vsZheng,2024,0.702,0.6,0.053,0.667,2.26,0.098,0.504,0.686,0.588,0.741,0.455,1.282,0.696,0.08,0.646,0.506
Iga Swiatek,2024 United Cup RR,W vsHaddad Maia,2024,0.826,0.684,0.065,0.333,2.54,0.077,0.62,0.65,0.631,0.887,0.633,1.546,0.942,0.052,0.694,0.596
Iga Swiatek,2024 United Cup RR,W vsSorribes Tormo,2024,0.843,0.628,0.0,0.5,2.16,0.0,0.575,0.711,0.637,0.497,0.0,1.327,0.762,0.0,0.7,0.453
Iga Swiatek,2023 Cancun Finals F,W vsPegula,2023,0.882,0.7,0.0,0.5,2.59,0.038,0.62,0.668,0.64,0.517,0.0,1.625,0.907,0.036,0.704,0.476
Iga Swiatek,2023 Cancun Finals SF,W vsSabalenka,2023,0.672,0.537,0.016,1.0,2.16,0.162,0.461,0.616,0.532,0.961,0.093,1.204,0.733,0.142,0.585,0.396
Iga Swiatek,2023 Cancun Finals RR,W vsVondrousova,2023,0.745,0.684,0.02,1.0,1.85,0.239,0.594,0.637,0.612,0.819,0.08,1.076,0.918,0.207,0.673,0.458
Iga Swiatek,2023 Cancun Finals RR,W vsJabeur,2023,0.783,0.611,0.022,1.0,2.33,0.162,0.52,0.713,0.609,0.712,0.127,1.385,0.68,0.172,0.669,0.46
Iga Swiatek,2023 Cancun Finals RR,W vsGauff,2023,0.733,0.614,0.017,1.0,2.51,0.0,0.573,0.599,0.582,0.835,0.935,1.45,0.95,0.0,0.641,0.605
Iga Swiatek,2023 Beijing F,W vsSamsonova,2023,0.735,0.5,0.02,1.0,2.53,0.038,0.565,0.519,0.54,0.497,0.394,1.463,0.912,0.032,0.594,0.464
Iga Swiatek,2023 Beijing SF,W vsGauff,2023,0.8,0.583,0.033,1.0,2.49,0.036,0.513,0.641,0.571,0.887,0.615,1.494,0.775,0.026,0.628,0.547
Iga Swiatek,2023 Beijing QF,W vsGarcia,2023,0.625,0.571,0.089,0.6,2.77,0.051,0.432,0.642,0.529,0.905,0.897,1.5,0.657,0.038,0.582,0.564
Iga Swiatek,2023 Beijing R16,W vsLinette,2023,0.756,0.71,0.024,0.0,2.72,0.0,0.567,0.645,0.601,0.607,0.984,1.592,0.855,0.0,0.661,0.644
Iga Swiatek,2023 Beijing R32,W vsGracheva,2023,0.759,0.614,0.0,0.5,2.77,0.032,0.472,0.642,0.551,0.267,0.0,1.624,0.712,0.025,0.606,0.412
Iga Swiatek,2023 Beijing R64,W vsSorribes Tormo,2023,0.701,0.702,0.0,0.5,2.67,0.0,0.578,0.642,0.606,0.423,0.0,1.514,0.881,0.0,0.666,0.432
Iga Swiatek,2023 Tokyo QF,L vsKudermetova,2023,0.659,0.5,0.024,0.0,2.6,0.075,0.444,0.517,0.477,0.852,0.275,1.438,0.864,0.06,0.429,0.41
Iga Swiatek,2023 Tokyo R16,W vsHontama,2023,0.838,0.627,0.013,0.0,2.67,0.054,0.599,0.575,0.585,0.289,0.2,1.636,0.952,0.05,0.643,0.481
Iga Swiatek,2023 US Open R16,L vsOstapenko,2023,0.58,0.675,0.101,1.0,2.53,0.058,0.427,0.715,0.561,0.631,0.902,1.332,0.562,0.056,0.505,0.587
Iga Swiatek,2023 US Open R32,W vsJuvan,2023,0.75,0.833,0.0,0.5,2.39,0.071,0.644,0.668,0.652,0.67,0.0,1.394,0.954,0.066,0.717,0.48
Iga Swiatek,2023 US Open R64,W vsSaville,2023,0.75,0.524,0.0,0.5,2.46,0.067,0.481,0.764,0.612,0.644,0.0,1.435,0.568,0.05,0.674,0.408
Iga Swiatek,2023 US Open R128,W vsPeterson,2023,0.844,0.778,0.063,1.0,2.4,0.063,0.673,0.671,0.669,0.423,0.698,1.475,0.996,0.048,0.736,0.641
Iga Swiatek,2023 Cincinnati SF,L vsGauff,2023,0.628,0.577,0.0,0.5,2.36,0.014,0.408,0.578,0.486,0.507,0.0,1.281,0.712,0.011,0.437,0.363
Iga Swiatek,2023 Cincinnati QF,W vsVondrousova,2023,0.618,0.618,0.036,0.0,2.42,0.265,0.517,0.55,0.53,0.517,0.13,1.305,0.937,0.186,0.583,0.411
Iga Swiatek,2023 Cincinnati R16,W vsZheng,2023,0.692,0.704,0.026,0.5,2.58,0.0,0.566,0.609,0.584,0.756,0.989,1.455,0.918,0.0,0.642,0.627
Iga Swiatek,2023 Cincinnati R32,W vsCollins,2023,0.688,0.848,0.083,0.25,3.08,0.0,0.606,0.733,0.663,0.147,1.0,1.733,0.775,0.0,0.729,0.685
Iga Swiatek,2023 Montreal SF,L vsPegula,2023,0.722,0.662,0.111,0.8,2.34,0.063,0.506,0.681,0.586,0.497,0.909,1.343,0.704,0.047,0.528,0.622
Iga Swiatek,2023 Montreal QF,W vsCollins,2023,0.682,0.55,0.08,0.571,2.7,0.057,0.471,0.638,0.548,0.571,0.832,1.514,0.716,0.056,0.603,0.562
Iga Swiatek,2023 Montreal R16,W vsMuchova,2023,0.757,0.571,0.036,0.25,2.75,0.082,0.472,0.678,0.567,0.607,0.372,1.611,0.663,0.058,0.624,0.487
Iga Swiatek,2023 Montreal R32,W vsPliskova,2023,0.747,0.593,0.063,0.8,2.94,0.027,0.566,0.578,0.569,0.517,0.936,1.712,0.976,0.025,0.626,0.607
Iga Swiatek,2023 Warsaw F,W vsSiegemund,2023,0.837,0.639,0.0,0.5,2.3,0.238,0.545,0.8,0.663,0.228,0.0,1.408,0.601,0.222,0.729,0.461
