Player,Match,Result,Year,Serve_Power,Serve_Quick_Points,Serve_Rally_Control,First_Serve_Power,First_Serve_Dominance,Second_Serve_Aggression,Second_Serve_Effectiveness,First_Serve_Placement_Strategy,Second_Serve_Placement_Strategy,Serve_Type_Adaptability,Serve_Consistency,Power_Control_Balance,Clutch_Serving,Serve_Tactical_Intelligence,Serve_Match_Impact,Overall_Serve_Game
Iga Swiatek,2025 Indian Wells R16,W vsMuchova,2025,0.243,0.378,0.704,0.292,0.483,0.11,0.3,0.19,0.292,0.398,0.694,0.451,0.0,0.255,0.438,0.394
Iga Swiatek,2025 Indian Wells R32,W vsYastremska,2025,0.405,0.5,0.542,0.5,0.542,0.49,0.44,0.322,0.204,0.494,0.815,0.692,0.0,0.303,0.543,0.475
Iga Swiatek,2025 Indian Wells R64,W vsGarcia,2025,0.318,0.432,0.519,0.357,0.455,1.22,0.382,0.262,0.619,0.42,0.864,0.601,0.5,0.444,0.462,0.438
Iga Swiatek,2025 Dubai QF,L vsAndreeva,2025,0.131,0.213,0.431,0.149,0.255,0.36,0.195,0.156,0.111,0.226,0.886,0.398,0.0,0.144,0.204,0.241
Iga Swiatek,2025 Doha SF,L vsOstapenko,2025,0.229,0.354,0.294,0.241,0.333,0.87,0.25,0.573,0.333,0.294,0.848,0.607,0.666,0.432,0.264,0.342
Iga Swiatek,2025 Doha QF,W vsRybakina,2025,0.222,0.302,0.583,0.233,0.359,0.43,0.328,0.448,0.197,0.343,0.941,0.464,0.334,0.333,0.378,0.359
Iga Swiatek,2025 Doha R32,W vsSakkari,2025,0.214,0.268,0.524,0.216,0.346,0.37,0.257,0.471,0.634,0.304,0.837,0.485,0.666,0.476,0.334,0.357
Iga Swiatek,2025 Australian Open SF,L vsKeys,2025,0.21,0.267,0.395,0.247,0.305,0.25,0.257,0.302,0.367,0.281,0.909,0.585,0.5,0.346,0.253,0.322
Iga Swiatek,2025 Australian Open QF,W vsNavarro,2025,0.113,0.113,0.644,0.179,0.33,0.73,0.18,0.321,0.187,0.26,0.741,0.359,0.0,0.206,0.286,0.268
Iga Swiatek,2025 Australian Open R16,W vsLys,2025,0.333,0.487,0.708,0.385,0.528,0.82,0.452,0.359,0.476,0.491,0.86,0.531,0.5,0.464,0.54,0.491
Iga Swiatek,2025 Australian Open R32,W vsRaducanu,2025,0.314,0.457,0.81,0.333,0.496,1.95,0.612,0.2,0.167,0.546,0.792,0.464,0.0,0.292,0.601,0.48
Iga Swiatek,2025 Australian Open R64,W vsSramkova,2025,0.162,0.243,0.759,0.278,0.42,0.58,0.313,0.194,0.329,0.37,0.808,0.406,0.0,0.252,0.406,0.354
Iga Swiatek,2025 Australian Open R128,W vsSiniakova,2025,0.255,0.364,0.585,0.308,0.452,1.04,0.22,0.352,0.254,0.344,0.629,0.523,0.0,0.259,0.379,0.371
Iga Swiatek,2025 United Cup F,L vsGauff,2025,0.221,0.312,0.418,0.277,0.348,0.35,0.271,0.578,0.257,0.311,0.857,0.581,0.334,0.358,0.28,0.343
Iga Swiatek,2025 United Cup SF,W vsRybakina,2025,0.264,0.319,0.56,0.306,0.383,0.53,0.348,0.285,0.253,0.365,0.931,0.561,0.0,0.254,0.402,0.37
Iga Swiatek,2025 United Cup QF,W vsBoulter,2025,0.284,0.363,0.465,0.343,0.433,0.28,0.213,0.324,0.148,0.331,0.644,0.629,0.083,0.243,0.364,0.363
Iga Swiatek,2025 United Cup RR,W vsMuchova,2025,0.183,0.256,0.485,0.222,0.317,0.61,0.245,0.536,0.456,0.283,0.865,0.487,0.667,0.445,0.311,0.334
Iga Swiatek,2025 United Cup RR,W vsHelgo,2025,0.306,0.528,0.773,0.458,0.609,1.19,0.367,0.378,0.0,0.496,0.616,0.521,0.0,0.274,0.546,0.474
Iga Swiatek,2024 BJK Cup SF,W vsPaolini,2024,0.266,0.385,0.486,0.292,0.414,0.92,0.298,0.451,0.286,0.359,0.792,0.555,0.192,0.33,0.395,0.379
Iga Swiatek,2024 BJK Cup QF,W vsNoskova,2024,0.343,0.444,0.476,0.365,0.475,0.37,0.314,0.478,0.216,0.4,0.725,0.637,0.334,0.365,0.44,0.425
Iga Swiatek,2024 BJK Cup R16,W vsBadosa,2024,0.176,0.264,0.5,0.19,0.329,0.25,0.212,0.224,0.321,0.274,0.791,0.436,0.25,0.269,0.302,0.302
Iga Swiatek,2024 Riyadh Finals RR,W vsKrejcikova,2024,0.344,0.441,0.455,0.439,0.483,0.97,0.334,0.294,0.524,0.413,0.741,0.694,0.5,0.429,0.454,0.44
Iga Swiatek,2024 Riyadh Finals RR,L vsGauff,2024,0.153,0.236,0.39,0.167,0.262,0.03,0.224,0.25,0.189,0.243,0.927,0.458,0.1,0.205,0.219,0.262
Iga Swiatek,2024 Riyadh Finals RR,W vsKasatkina,2024,0.333,0.436,0.6,0.44,0.515,0.18,0.329,0.326,0.167,0.428,0.69,0.624,0.0,0.27,0.471,0.432
Iga Swiatek,2024 US Open QF,L vsPegula,2024,0.183,0.3,0.447,0.171,0.289,0.23,0.327,0.294,0.708,0.305,0.926,0.431,0.5,0.422,0.274,0.331
Iga Swiatek,2024 US Open R16,W vsSamsonova,2024,0.283,0.396,0.622,0.394,0.548,0.43,0.218,0.352,0.312,0.396,0.517,0.573,0.0,0.291,0.436,0.409
Iga Swiatek,2024 US Open R32,W vsPavlyuchenkova,2024,0.333,0.5,0.667,0.323,0.477,0.38,0.533,0.219,0.148,0.5,0.893,0.503,0.0,0.274,0.55,0.458
Iga Swiatek,2024 US Open R128,W vsRakhimova,2024,0.284,0.448,0.596,0.289,0.42,0.62,0.451,0.449,0.27,0.432,0.94,0.492,0.166,0.35,0.476,0.423
Iga Swiatek,2024 Cincinnati SF,L vsSabalenka,2024,0.257,0.343,0.306,0.341,0.419,0.21,0.15,0.257,0.667,0.295,0.585,0.713,0.5,0.403,0.265,0.354
Iga Swiatek,2024 Cincinnati QF,W vsAndreeva,2024,0.352,0.495,0.561,0.403,0.483,0.21,0.435,0.287,0.333,0.459,0.91,0.605,0.25,0.358,0.505,0.458
Iga Swiatek,2024 Cincinnati R16,W vsKostyuk,2024,0.409,0.5,0.5,0.355,0.449,0.82,0.52,0.321,0.238,0.479,0.867,0.635,0.0,0.303,0.527,0.461
Iga Swiatek,2024 Cincinnati R32,W vsGracheva,2024,0.299,0.429,0.577,0.404,0.498,0.23,0.318,0.286,0.599,0.414,0.698,0.595,0.5,0.443,0.455,0.44
Iga Swiatek,2024 Paris Olympics BR,W vsSchmiedlova,2024,0.3,0.45,0.667,0.355,0.461,0.09,0.445,0.132,0.2,0.452,0.967,0.52,0.0,0.247,0.497,0.429
Iga Swiatek,2024 Paris Olympics SF,L vsZheng,2024,0.197,0.295,0.341,0.273,0.33,1.19,0.133,0.326,0.667,0.239,0.674,0.615,0.625,0.419,0.215,0.319
Iga Swiatek,2024 Paris Olympics QF,W vsCollins,2024,0.31,0.394,0.438,0.429,0.441,0.66,0.24,0.301,0.548,0.348,0.669,0.7,0.5,0.409,0.383,0.405
Iga Swiatek,2024 Paris Olympics R16,W vsWang,2024,0.083,0.264,0.578,0.087,0.296,0.3,0.258,0.225,0.128,0.277,0.927,0.195,0.0,0.182,0.305,0.259
Iga Swiatek,2024 Paris Olympics R32,W vsParry,2024,0.216,0.297,0.69,0.296,0.432,1.19,0.21,0.278,0.167,0.329,0.642,0.469,0.0,0.221,0.362,0.353
Iga Swiatek,2024 Paris Olympics R64,W vsBegu,2024,0.271,0.39,0.5,0.359,0.426,0.43,0.299,0.24,0.256,0.367,0.776,0.599,0.0,0.246,0.403,0.376
Iga Swiatek,2024 Wimbledon R32,L vsPutintseva,2024,0.231,0.385,0.448,0.308,0.409,0.3,0.228,0.342,0.576,0.325,0.696,0.559,0.666,0.447,0.293,0.375
Iga Swiatek,2024 Wimbledon R64,W vsMartic,2024,0.345,0.545,0.676,0.361,0.553,0.23,0.434,0.378,0.208,0.496,0.789,0.515,0.0,0.316,0.546,0.475
Iga Swiatek,2024 Wimbledon R128,W vsKenin,2024,0.474,0.579,0.483,0.581,0.623,0.57,0.412,0.385,0.656,0.525,0.656,0.751,0.5,0.518,0.577,0.538
Iga Swiatek,2024 Roland Garros F,W vsPaolini,2024,0.19,0.405,0.618,0.154,0.328,1.04,0.475,0.241,0.25,0.394,0.746,0.318,0.0,0.256,0.433,0.36
Iga Swiatek,2024 Roland Garros SF,W vsGauff,2024,0.27,0.349,0.522,0.31,0.395,1.04,0.309,0.213,0.12,0.354,0.843,0.572,0.0,0.208,0.39,0.362
Iga Swiatek,2024 Roland Garros QF,W vsVondrousova,2024,0.103,0.282,0.714,0.077,0.357,1.04,0.248,0.075,0.111,0.306,0.803,0.175,0.0,0.16,0.337,0.288
Iga Swiatek,2024 Roland Garros R16,W vsPotapova,2024,0.444,0.519,0.8,0.688,0.738,1.04,0.34,0.167,0.143,0.554,0.451,0.689,0.0,0.283,0.609,0.536
Iga Swiatek,2024 Roland Garros R32,W vsBouzkova,2024,0.122,0.286,0.69,0.161,0.339,0.55,0.342,0.165,0.182,0.339,0.994,0.277,0.0,0.205,0.372,0.314
Iga Swiatek,2024 Roland Garros R64,W vsOsaka,2024,0.139,0.2,0.531,0.174,0.29,0.25,0.241,0.277,0.429,0.267,0.906,0.394,0.625,0.373,0.293,0.299
Iga Swiatek,2024 Roland Garros R128,W vsJeanjean,2024,0.297,0.459,0.577,0.37,0.491,1.04,0.283,0.307,0.25,0.395,0.659,0.559,0.0,0.269,0.434,0.41
Iga Swiatek,2024 Rome F,W vsSabalenka,2024,0.316,0.421,0.553,0.387,0.469,0.57,0.374,0.568,0.649,0.424,0.827,0.609,0.834,0.58,0.466,0.463
Iga Swiatek,2024 Rome SF,W vsGauff,2024,0.255,0.345,0.55,0.306,0.418,0.4,0.279,0.258,0.292,0.353,0.757,0.546,0.0,0.251,0.388,0.366
Iga Swiatek,2024 Rome QF,W vsKeys,2024,0.375,0.438,0.487,0.438,0.47,0.28,0.317,0.589,0.454,0.398,0.735,0.696,0.75,0.518,0.438,0.461
Iga Swiatek,2024 Rome R16,W vsKerber,2024,0.177,0.387,0.62,0.133,0.339,0.33,0.46,0.333,0.292,0.392,0.786,0.293,0.0,0.282,0.432,0.356
Iga Swiatek,2024 Rome R32,W vsPutintseva,2024,0.192,0.288,0.614,0.222,0.371,0.18,0.3,0.46,0.645,0.337,0.869,0.421,0.625,0.481,0.371,0.372
Iga Swiatek,2024 Rome R64,W vsPera,2024,0.288,0.404,0.514,0.333,0.411,1.04,0.373,0.247,0.248,0.392,0.927,0.58,0.0,0.256,0.431,0.39
Iga Swiatek,2024 Madrid F,W vsSabalenka,2024,0.252,0.353,0.506,0.295,0.389,0.14,0.316,0.354,0.605,0.354,0.864,0.553,0.5,0.433,0.389,0.388
Iga Swiatek,2024 Madrid SF,W vsKeys,2024,0.16,0.3,0.667,0.194,0.34,1.04,0.366,0.57,0.704,0.35,0.948,0.344,1.0,0.595,0.385,0.388
Iga Swiatek,2024 Madrid QF,W vsHaddad Maia,2024,0.286,0.357,0.511,0.327,0.373,0.68,0.415,0.189,0.407,0.39,0.919,0.598,0.5,0.375,0.429,0.401
Iga Swiatek,2024 Madrid R16,W vsSorribes Tormo,2024,0.105,0.184,0.697,0.167,0.329,1.19,0.238,0.391,0.19,0.286,0.834,0.293,0.0,0.231,0.315,0.289
Iga Swiatek,2024 Madrid R32,W vsCirstea,2024,0.2,0.311,0.583,0.207,0.333,1.04,0.366,0.361,0.233,0.346,0.935,0.418,0.0,0.257,0.381,0.341
Iga Swiatek,2024 Madrid R64,W vsWang,2024,0.25,0.404,0.556,0.303,0.454,0.63,0.295,0.301,0.556,0.38,0.728,0.511,0.5,0.423,0.417,0.403
Iga Swiatek,2024 Stuttgart SF,L vsRybakina,2024,0.142,0.283,0.548,0.148,0.318,0.35,0.303,0.45,0.573,0.31,0.969,0.328,0.528,0.434,0.279,0.328
Iga Swiatek,2024 Stuttgart QF,W vsRaducanu,2024,0.197,0.377,0.667,0.175,0.358,0.46,0.455,0.234,0.182,0.4,0.824,0.336,0.0,0.243,0.44,0.366
Iga Swiatek,2024 Stuttgart R16,W vsMertens,2024,0.188,0.359,0.529,0.208,0.353,0.28,0.312,0.366,0.259,0.332,0.921,0.41,0.0,0.258,0.366,0.334
Iga Swiatek,2024 BJK Cup RR,W vsNaef,2024,0.269,0.404,0.514,0.325,0.453,0.23,0.154,0.399,0.556,0.315,0.549,0.56,0.666,0.45,0.347,0.394
Iga Swiatek,2024 BJK Cup RR,W vsWaltert,2024,0.264,0.34,0.579,0.306,0.428,0.33,0.27,0.258,0.644,0.355,0.729,0.542,0.5,0.422,0.39,0.397
Iga Swiatek,2024 Miami R16,L vsAlexandrova,2024,0.321,0.429,0.378,0.425,0.432,0.47,0.256,0.283,0.19,0.35,0.703,0.717,0.0,0.235,0.315,0.38
Iga Swiatek,2024 Miami R32,W vsNoskova,2024,0.133,0.316,0.61,0.151,0.343,0.27,0.28,0.193,0.611,0.313,0.882,0.292,0.5,0.386,0.344,0.331
Iga Swiatek,2024 Miami R64,W vsGiorgi,2024,0.286,0.476,0.655,0.346,0.488,0.28,0.42,0.21,0.125,0.455,0.872,0.5,0.0,0.249,0.501,0.428
Iga Swiatek,2024 Indian Wells F,W vsSakkari,2024,0.302,0.372,0.643,0.345,0.441,0.68,0.408,0.233,0.286,0.424,0.937,0.555,0.0,0.273,0.466,0.415
Iga Swiatek,2024 Indian Wells SF,W vsKostyuk,2024,0.154,0.205,0.697,0.172,0.351,1.04,0.203,0.248,0.333,0.282,0.744,0.34,0.0,0.229,0.311,0.305
Iga Swiatek,2024 Indian Wells R16,W vsPutintseva,2024,0.256,0.372,0.581,0.333,0.435,0.3,0.288,0.335,0.667,0.366,0.746,0.541,0.5,0.447,0.403,0.407
Iga Swiatek,2024 Indian Wells R32,W vsNoskova,2024,0.241,0.426,0.525,0.176,0.368,0.43,0.404,0.23,0.571,0.382,0.93,0.405,0.5,0.413,0.421,0.389
Iga Swiatek,2024 Indian Wells R64,W vsCollins,2024,0.381,0.46,0.459,0.422,0.473,0.3,0.353,0.29,0.133,0.416,0.787,0.694,0.0,0.251,0.458,0.425
Iga Swiatek,2024 Dubai SF,L vsKalinskaya,2024,0.237,0.373,0.442,0.308,0.406,0.04,0.238,0.302,0.095,0.328,0.716,0.573,0.0,0.211,0.295,0.341
Iga Swiatek,2024 Dubai QF,W vsZheng,2024,0.262,0.393,0.556,0.282,0.426,1.04,0.319,0.306,0.278,0.375,0.807,0.509,0.0,0.267,0.413,0.38
Iga Swiatek,2024 Dubai R16,W vsSvitolina,2024,0.224,0.328,0.512,0.325,0.417,1.19,0.175,0.48,0.389,0.305,0.616,0.564,0.416,0.379,0.336,0.36
Iga Swiatek,2024 Dubai R32,W vsStephens,2024,0.254,0.343,0.468,0.357,0.386,0.27,0.302,0.366,0.67,0.346,0.844,0.626,0.666,0.479,0.381,0.393
Iga Swiatek,2024 Doha F,W vsRybakina,2024,0.186,0.279,0.47,0.219,0.323,0.14,0.228,0.324,0.2,0.278,0.826,0.483,0.072,0.23,0.306,0.302
Iga Swiatek,2024 Doha QF,W vsAzarenka,2024,0.262,0.357,0.6,0.333,0.442,0.23,0.307,0.378,0.25,0.379,0.763,0.543,0.0,0.277,0.417,0.387
Iga Swiatek,2024 Doha R16,W vsAlexandrova,2024,0.37,0.452,0.478,0.407,0.485,1.04,0.27,0.326,0.111,0.385,0.65,0.674,0.1,0.261,0.424,0.416
Iga Swiatek,2024 Doha R32,W vsCirstea,2024,0.278,0.389,0.72,0.308,0.425,0.17,0.501,0.218,0.15,0.458,0.858,0.477,0.0,0.257,0.503,0.423
Iga Swiatek,2024 Australian Open R32,L vsNoskova,2024,0.221,0.326,0.515,0.236,0.359,0.65,0.304,0.233,0.156,0.332,0.897,0.486,0.0,0.211,0.299,0.334
Iga Swiatek,2024 Australian Open R64,W vsCollins,2024,0.245,0.298,0.403,0.313,0.381,0.04,0.159,0.295,0.481,0.278,0.641,0.649,0.458,0.358,0.306,0.342
Iga Swiatek,2024 Australian Open R128,W vsKenin,2024,0.324,0.423,0.479,0.347,0.42,1.04,0.359,0.277,0.589,0.391,0.885,0.622,0.5,0.429,0.43,0.424
Iga Swiatek,2024 United Cup F,W vsKerber,2024,0.22,0.39,0.628,0.227,0.396,1.11,0.408,0.502,0.042,0.4,0.977,0.406,0.334,0.335,0.44,0.388
Iga Swiatek,2024 United Cup SF,W vsGarcia,2024,0.276,0.421,0.588,0.278,0.433,1.15,0.377,0.296,0.108,0.406,0.894,0.492,0.166,0.277,0.447,0.399
Iga Swiatek,2024 United Cup QF,W vsZheng,2024,0.236,0.364,0.537,0.219,0.359,0.51,0.378,0.31,0.203,0.366,0.963,0.457,0.0,0.249,0.402,0.357
Iga Swiatek,2024 United Cup RR,W vsHaddad Maia,2024,0.204,0.327,0.59,0.216,0.346,1.04,0.363,0.183,0.276,0.352,0.967,0.42,0.0,0.233,0.388,0.343
Iga Swiatek,2024 United Cup RR,W vsSorribes Tormo,2024,0.143,0.327,0.667,0.2,0.363,1.04,0.342,0.295,0.286,0.352,0.959,0.326,0.0,0.257,0.387,0.337
Iga Swiatek,2023 Cancun Finals F,W vsPegula,2023,0.289,0.395,0.692,0.364,0.483,0.28,0.393,0.256,0.583,0.44,0.835,0.53,0.5,0.444,0.484,0.45
Iga Swiatek,2023 Cancun Finals SF,W vsSabalenka,2023,0.283,0.434,0.676,0.306,0.487,0.33,0.35,0.333,0.085,0.423,0.76,0.479,0.0,0.253,0.465,0.415
Iga Swiatek,2023 Cancun Finals RR,W vsVondrousova,2023,0.219,0.344,0.522,0.222,0.34,0.3,0.392,0.219,0.262,0.362,0.902,0.46,0.0,0.241,0.398,0.346
Iga Swiatek,2023 Cancun Finals RR,W vsJabeur,2023,0.208,0.417,0.622,0.346,0.502,0.66,0.29,0.271,0.591,0.403,0.654,0.48,0.5,0.434,0.444,0.411
Iga Swiatek,2023 Cancun Finals RR,W vsGauff,2023,0.321,0.429,0.472,0.366,0.442,0.57,0.312,0.221,0.214,0.381,0.772,0.633,0.0,0.239,0.419,0.394
Iga Swiatek,2023 Beijing F,W vsSamsonova,2023,0.357,0.405,0.615,0.385,0.503,1.04,0.353,0.202,0.226,0.433,0.741,0.613,0.0,0.259,0.476,0.433
Iga Swiatek,2023 Beijing SF,W vsGauff,2023,0.275,0.375,0.75,0.367,0.519,1.19,0.2,0.378,0.167,0.372,0.528,0.508,0.0,0.258,0.409,0.406
Iga Swiatek,2023 Beijing QF,W vsGarcia,2023,0.371,0.485,0.593,0.452,0.551,0.51,0.258,0.257,0.125,0.415,0.557,0.635,0.0,0.243,0.457,0.44
Iga Swiatek,2023 Beijing R16,W vsLinette,2023,0.194,0.333,0.724,0.263,0.449,1.04,0.33,0.215,0.182,0.393,0.787,0.401,0.0,0.236,0.432,0.371
Iga Swiatek,2023 Beijing R32,W vsGracheva,2023,0.295,0.386,0.581,0.333,0.435,1.04,0.342,0.213,0.222,0.391,0.831,0.562,0.0,0.243,0.43,0.394
Iga Swiatek,2023 Beijing R64,W vsSorribes Tormo,2023,0.044,0.133,0.524,0.031,0.185,0.3,0.255,0.25,0.167,0.216,0.869,0.11,0.0,0.17,0.238,0.198
Iga Swiatek,2023 Tokyo QF,L vsKudermetova,2023,0.272,0.333,0.547,0.298,0.359,1.09,0.438,0.384,0.619,0.393,0.855,0.56,0.6,0.478,0.354,0.412
Iga Swiatek,2023 Tokyo R16,W vsHontama,2023,0.189,0.243,0.421,0.25,0.297,0.03,0.261,0.393,0.721,0.279,0.93,0.566,0.6,0.454,0.307,0.332
Iga Swiatek,2023 US Open R16,L vsOstapenko,2023,0.286,0.312,0.308,0.333,0.35,0.21,0.237,0.245,0.225,0.297,0.797,0.747,0.125,0.238,0.267,0.335
Iga Swiatek,2023 US Open R32,W vsJuvan,2023,0.147,0.294,0.821,0.211,0.413,0.42,0.361,0.217,0.283,0.387,0.9,0.305,0.0,0.255,0.426,0.362
Iga Swiatek,2023 US Open R64,W vsSaville,2023,0.161,0.304,0.556,0.189,0.35,0.02,0.266,0.455,0.394,0.31,0.845,0.378,0.25,0.344,0.341,0.328
Iga Swiatek,2023 US Open R128,W vsPeterson,2023,0.214,0.405,0.656,0.3,0.438,1.19,0.336,0.632,0.208,0.39,0.816,0.443,0.5,0.424,0.429,0.407
Iga Swiatek,2023 Cincinnati SF,L vsGauff,2023,0.135,0.236,0.595,0.164,0.297,0.17,0.31,0.344,0.273,0.302,0.973,0.338,0.0,0.244,0.271,0.297
Iga Swiatek,2023 Cincinnati QF,W vsVondrousova,2023,0.175,0.286,0.592,0.146,0.319,0.61,0.355,0.232,0.589,0.334,0.93,0.343,0.3,0.358,0.368,0.338
Iga Swiatek,2023 Cincinnati R16,W vsZheng,2023,0.274,0.315,0.42,0.386,0.445,0.0,0.174,0.258,0.242,0.32,0.583,0.703,0.0,0.228,0.352,0.35
Iga Swiatek,2023 Cincinnati R32,W vsCollins,2023,0.441,0.471,0.412,0.435,0.476,1.15,0.389,0.481,0.317,0.434,0.841,0.749,0.25,0.383,0.478,0.462
Iga Swiatek,2023 Montreal SF,L vsPegula,2023,0.217,0.255,0.304,0.264,0.298,0.17,0.176,0.445,0.333,0.241,0.784,0.681,0.388,0.33,0.217,0.305
Iga Swiatek,2023 Montreal QF,W vsCollins,2023,0.356,0.448,0.472,0.481,0.508,0.0,0.32,0.442,0.199,0.42,0.687,0.712,0.166,0.33,0.462,0.435
Iga Swiatek,2023 Montreal R16,W vsMuchova,2023,0.295,0.409,0.443,0.306,0.391,0.57,0.345,0.37,0.205,0.368,0.912,0.597,0.083,0.279,0.405,0.381
Iga Swiatek,2023 Montreal R32,W vsPliskova,2023,0.31,0.414,0.541,0.412,0.508,0.47,0.292,0.202,0.564,0.407,0.649,0.629,0.5,0.416,0.448,0.432
Iga Swiatek,2023 Warsaw F,W vsSiegemund,2023,0.382,0.441,0.714,0.368,0.48,1.04,0.513,0.226,0.238,0.493,0.935,0.564,0.0,0.29,0.542,0.473
