Player,Year,Overall_Unret,Matches,Serve_Power,Serve_Quick_Points,Serve_Rally_Control,First_Serve_Power,First_Serve_Dominance,Second_Serve_Aggression,Second_Serve_Effectiveness,First_Serve_Placement_Strategy,Second_Serve_Placement_Strategy,Serve_Type_Adaptability,Serve_Consistency,Power_Control_Balance,Clutch_Serving,Serve_Tactical_Intelligence,Serve_Match_Impact,Overall_Serve_Game
Aryna Sabalenka,2021,0.306,62,0.306,0.457,0.518,0.391,0.491,0.618,0.363,0.561,0.461,0.431,0.766,0.598,0.449,0.466,0.453,0.445
Aryna Sabalenka,2022,0.267,55,0.267,0.399,0.492,0.334,0.434,0.654,0.346,0.505,0.472,0.392,0.801,0.567,0.381,0.428,0.403,0.406
Aryna Sabalenka,2023,0.313,68,0.313,0.466,0.538,0.391,0.499,0.554,0.357,0.495,0.492,0.432,0.745,0.587,0.41,0.452,0.461,0.448
Aryna Sabalenka,2024,0.282,69,0.282,0.438,0.533,0.338,0.46,0.522,0.341,0.568,0.519,0.403,0.771,0.542,0.541,0.487,0.432,0.43
Aryna Sabalenka,2025,0.256,33,0.256,0.395,0.491,0.301,0.409,0.55,0.324,0.544,0.525,0.369,0.81,0.547,0.54,0.469,0.39,0.401
Clara Tauson,2019,0.202,2,0.202,0.27,0.446,0.242,0.317,0.065,0.242,0.433,0.563,0.281,0.861,0.538,0.656,0.443,0.282,0.339
Clara Tauson,2020,0.165,1,0.165,0.302,0.496,0.22,0.349,0.89,0.19,0.465,0.242,0.275,0.728,0.439,0.461,0.344,0.303,0.317
Clara Tauson,2021,0.241,6,0.241,0.362,0.477,0.312,0.414,0.51,0.288,0.419,0.487,0.355,0.785,0.564,0.515,0.426,0.369,0.383
Clara Tauson,2022,0.257,8,0.257,0.355,0.504,0.352,0.448,0.769,0.254,0.446,0.376,0.358,0.694,0.599,0.569,0.421,0.371,0.393
Clara Tauson,2023,0.186,5,0.186,0.293,0.523,0.225,0.339,0.466,0.298,0.298,0.342,0.319,0.909,0.427,0.319,0.319,0.343,0.33
Clara Tauson,2024,0.222,6,0.222,0.339,0.458,0.281,0.393,0.573,0.262,0.439,0.434,0.332,0.77,0.532,0.516,0.41,0.325,0.362
Clara Tauson,2025,0.285,20,0.285,0.386,0.47,0.372,0.463,0.448,0.271,0.369,0.394,0.374,0.694,0.627,0.372,0.376,0.386,0.398
Coco Gauff,2019,0.216,12,0.216,0.283,0.521,0.263,0.365,0.804,0.277,0.41,0.382,0.323,0.8,0.512,0.34,0.356,0.345,0.349
Coco Gauff,2020,0.262,8,0.262,0.331,0.502,0.303,0.389,1.126,0.359,0.375,0.31,0.374,0.788,0.58,0.192,0.325,0.378,0.378
Coco Gauff,2021,0.261,12,0.261,0.383,0.549,0.311,0.432,0.954,0.33,0.415,0.214,0.384,0.82,0.527,0.177,0.315,0.388,0.388
Coco Gauff,2022,0.248,23,0.248,0.331,0.458,0.295,0.378,0.521,0.283,0.387,0.162,0.333,0.815,0.575,0.145,0.272,0.333,0.35
Coco Gauff,2023,0.262,36,0.262,0.348,0.492,0.332,0.417,0.466,0.285,0.457,0.213,0.355,0.766,0.588,0.308,0.338,0.375,0.377
Coco Gauff,2024,0.271,36,0.271,0.366,0.515,0.348,0.447,0.6,0.31,0.378,0.171,0.383,0.761,0.591,0.238,0.311,0.392,0.388
Coco Gauff,2025,0.249,27,0.249,0.328,0.535,0.296,0.411,0.616,0.298,0.404,0.245,0.358,0.763,0.54,0.202,0.313,0.371,0.37
Ekaterina Alexandrova,2016,0.254,2,0.254,0.315,0.418,0.476,0.5,0.085,0.229,0.286,0.4,0.375,0.582,0.748,0.323,0.352,0.377,0.382
Ekaterina Alexandrova,2017,0.383,2,0.383,0.453,0.434,0.424,0.496,0.67,0.275,0.631,0.444,0.393,0.656,0.718,0.562,0.485,0.432,0.452
Ekaterina Alexandrova,2018,0.284,4,0.284,0.408,0.553,0.361,0.472,0.368,0.324,0.387,0.379,0.403,0.745,0.559,0.294,0.373,0.411,0.414
Ekaterina Alexandrova,2019,0.264,18,0.264,0.359,0.472,0.359,0.442,0.533,0.27,0.453,0.23,0.362,0.703,0.61,0.359,0.353,0.36,0.382
Ekaterina Alexandrova,2020,0.257,6,0.257,0.378,0.471,0.362,0.455,0.575,0.238,0.514,0.341,0.354,0.649,0.61,0.451,0.403,0.37,0.389
Ekaterina Alexandrova,2021,0.234,5,0.234,0.349,0.491,0.304,0.407,0.5,0.276,0.576,0.452,0.346,0.777,0.548,0.628,0.469,0.345,0.385
Ekaterina Alexandrova,2022,0.293,8,0.293,0.4,0.467,0.356,0.442,0.821,0.34,0.448,0.348,0.393,0.785,0.622,0.425,0.402,0.395,0.409
Ekaterina Alexandrova,2023,0.216,10,0.216,0.336,0.486,0.279,0.384,0.577,0.286,0.449,0.405,0.338,0.795,0.518,0.532,0.412,0.34,0.364
Ekaterina Alexandrova,2024,0.272,14,0.272,0.382,0.454,0.353,0.444,0.52,0.282,0.492,0.397,0.368,0.71,0.616,0.569,0.439,0.373,0.399
Ekaterina Alexandrova,2025,0.29,12,0.29,0.426,0.526,0.362,0.475,0.44,0.297,0.421,0.37,0.392,0.711,0.58,0.431,0.401,0.402,0.417
Elena Rybakina,2018,0.172,1,0.172,0.299,0.433,0.245,0.362,0.28,0.212,0.298,0.43,0.292,0.74,0.504,0.325,0.327,0.263,0.317
Elena Rybakina,2019,0.25,11,0.25,0.38,0.51,0.301,0.416,0.663,0.326,0.44,0.399,0.373,0.845,0.544,0.42,0.401,0.379,0.391
Elena Rybakina,2020,0.241,16,0.241,0.356,0.472,0.307,0.407,0.344,0.274,0.423,0.413,0.345,0.758,0.553,0.534,0.412,0.351,0.376
Elena Rybakina,2021,0.285,12,0.285,0.386,0.474,0.373,0.449,0.381,0.298,0.482,0.422,0.378,0.747,0.622,0.572,0.446,0.362,0.41
Elena Rybakina,2022,0.327,19,0.327,0.458,0.524,0.454,0.533,0.414,0.327,0.396,0.396,0.437,0.674,0.644,0.349,0.403,0.461,0.447
Elena Rybakina,2023,0.33,35,0.33,0.445,0.484,0.456,0.526,0.484,0.293,0.418,0.41,0.418,0.64,0.671,0.434,0.42,0.444,0.44
Elena Rybakina,2024,0.31,34,0.31,0.432,0.501,0.409,0.5,0.413,0.28,0.494,0.373,0.398,0.652,0.631,0.476,0.428,0.418,0.429
Elena Rybakina,2025,0.307,27,0.307,0.451,0.499,0.416,0.508,0.486,0.312,0.479,0.457,0.417,0.683,0.62,0.496,0.453,0.429,0.438
Elina Svitolina,2013,0.047,1,0.047,0.093,0.27,0.083,0.148,1.19,0.1,0.462,0.2,0.126,0.908,0.327,0.25,0.233,0.113,0.163
Elina Svitolina,2014,0.213,13,0.213,0.267,0.454,0.25,0.338,0.507,0.263,0.358,0.316,0.302,0.811,0.542,0.34,0.324,0.297,0.329
Elina Svitolina,2015,0.209,19,0.209,0.265,0.443,0.244,0.322,0.552,0.249,0.37,0.248,0.287,0.842,0.536,0.31,0.301,0.301,0.318
Elina Svitolina,2016,0.18,9,0.18,0.252,0.492,0.223,0.333,0.359,0.232,0.349,0.194,0.285,0.824,0.469,0.207,0.264,0.292,0.305
Elina Svitolina,2017,0.222,25,0.222,0.328,0.52,0.285,0.403,0.469,0.257,0.45,0.308,0.335,0.755,0.516,0.451,0.376,0.354,0.363
Elina Svitolina,2018,0.245,27,0.245,0.336,0.495,0.308,0.404,0.513,0.256,0.417,0.308,0.335,0.751,0.555,0.367,0.352,0.351,0.366
Elina Svitolina,2019,0.222,44,0.222,0.301,0.495,0.282,0.386,0.538,0.237,0.393,0.204,0.316,0.749,0.536,0.269,0.3,0.33,0.341
Elina Svitolina,2020,0.227,10,0.227,0.297,0.461,0.279,0.37,0.68,0.222,0.408,0.238,0.301,0.711,0.542,0.284,0.306,0.318,0.334
Elina Svitolina,2021,0.237,30,0.237,0.34,0.502,0.285,0.401,0.401,0.27,0.425,0.169,0.34,0.768,0.531,0.255,0.306,0.352,0.357
Elina Svitolina,2022,0.252,3,0.252,0.332,0.469,0.341,0.434,0.26,0.214,0.435,0.15,0.332,0.644,0.616,0.271,0.304,0.322,0.361
Elina Svitolina,2023,0.209,11,0.209,0.301,0.479,0.252,0.36,0.711,0.246,0.37,0.157,0.306,0.808,0.5,0.194,0.267,0.321,0.325
Elina Svitolina,2024,0.222,18,0.222,0.329,0.476,0.29,0.405,0.616,0.232,0.409,0.178,0.325,0.718,0.55,0.258,0.299,0.327,0.346
Elina Svitolina,2025,0.233,16,0.233,0.32,0.468,0.293,0.395,0.553,0.253,0.361,0.232,0.329,0.758,0.564,0.306,0.311,0.335,0.35
Emma Navarro,2021,0.121,1,0.121,0.19,0.367,0.182,0.259,0.71,0.16,0.629,0.144,0.213,0.82,0.482,0.458,0.332,0.192,0.259
Emma Navarro,2022,0.114,2,0.114,0.174,0.442,0.189,0.274,0.715,0.191,0.351,0.366,0.235,0.848,0.439,0.375,0.313,0.238,0.265
Emma Navarro,2023,0.195,7,0.195,0.283,0.514,0.261,0.371,0.703,0.244,0.482,0.38,0.311,0.767,0.509,0.476,0.392,0.321,0.346
Emma Navarro,2024,0.214,28,0.214,0.294,0.49,0.239,0.343,0.538,0.273,0.395,0.349,0.309,0.825,0.502,0.342,0.341,0.313,0.339
Emma Navarro,2025,0.14,10,0.14,0.217,0.477,0.166,0.289,0.642,0.196,0.439,0.348,0.245,0.809,0.378,0.438,0.343,0.25,0.283
Iga Swiatek,2018,0.166,2,0.166,0.298,0.558,0.254,0.39,0.57,0.279,0.19,0.568,0.337,0.803,0.435,0.417,0.37,0.371,0.345
Iga Swiatek,2019,0.257,13,0.257,0.346,0.39,0.32,0.376,0.498,0.285,0.475,0.551,0.333,0.825,0.626,0.63,0.464,0.318,0.377
Iga Swiatek,2020,0.193,13,0.193,0.322,0.532,0.207,0.354,0.624,0.315,0.448,0.379,0.335,0.837,0.426,0.485,0.396,0.357,0.353
Iga Swiatek,2021,0.244,37,0.244,0.358,0.554,0.308,0.426,0.556,0.312,0.432,0.375,0.372,0.766,0.515,0.418,0.394,0.385,0.389
Iga Swiatek,2022,0.231,76,0.231,0.334,0.539,0.271,0.387,0.473,0.301,0.352,0.26,0.346,0.812,0.502,0.276,0.316,0.373,0.361
Iga Swiatek,2023,0.244,78,0.244,0.355,0.565,0.284,0.406,0.576,0.316,0.329,0.308,0.363,0.818,0.499,0.203,0.313,0.391,0.374
Iga Swiatek,2024,0.253,71,0.253,0.373,0.554,0.295,0.412,0.57,0.321,0.31,0.346,0.369,0.805,0.511,0.237,0.326,0.398,0.382
Iga Swiatek,2025,0.25,46,0.25,0.361,0.546,0.304,0.418,0.628,0.309,0.365,0.315,0.367,0.793,0.525,0.321,0.347,0.389,0.382
Jasmine Paolini,2016,0.15,2,0.15,0.227,0.468,0.174,0.296,0.305,0.205,0.358,0.273,0.253,0.833,0.425,0.292,0.286,0.256,0.283
Jasmine Paolini,2019,0.201,2,0.201,0.242,0.461,0.216,0.309,0.495,0.27,0.421,0.365,0.29,0.835,0.519,0.521,0.377,0.261,0.327
Jasmine Paolini,2020,0.139,4,0.139,0.198,0.438,0.148,0.246,0.992,0.231,0.458,0.47,0.238,0.906,0.406,0.68,0.417,0.226,0.286
Jasmine Paolini,2021,0.198,8,0.198,0.268,0.482,0.22,0.314,0.516,0.3,0.385,0.383,0.306,0.813,0.499,0.526,0.381,0.316,0.335
Jasmine Paolini,2022,0.183,5,0.183,0.235,0.461,0.242,0.322,0.86,0.195,0.386,0.443,0.263,0.782,0.526,0.552,0.381,0.264,0.317
Jasmine Paolini,2023,0.16,6,0.16,0.237,0.42,0.181,0.28,0.612,0.193,0.386,0.477,0.239,0.844,0.453,0.478,0.364,0.223,0.29
Jasmine Paolini,2024,0.206,39,0.206,0.304,0.498,0.228,0.344,0.519,0.277,0.414,0.405,0.312,0.849,0.467,0.438,0.376,0.322,0.343
Jasmine Paolini,2025,0.197,17,0.197,0.284,0.459,0.221,0.33,0.445,0.25,0.42,0.34,0.292,0.855,0.487,0.326,0.334,0.298,0.323
Jessica Pegula,2015,0.182,2,0.182,0.318,0.6,0.222,0.4,0.415,0.288,0.269,0.199,0.348,0.799,0.407,0.225,0.278,0.355,0.344
Jessica Pegula,2016,0.194,1,0.194,0.284,0.365,0.257,0.358,0.28,0.187,0.456,0.313,0.279,0.71,0.588,0.416,0.349,0.251,0.317
Jessica Pegula,2018,0.274,2,0.274,0.368,0.443,0.366,0.444,0.75,0.229,0.443,0.368,0.345,0.653,0.645,0.592,0.418,0.349,0.39
Jessica Pegula,2019,0.268,5,0.268,0.365,0.527,0.341,0.44,0.642,0.286,0.302,0.406,0.368,0.734,0.572,0.39,0.367,0.38,0.392
Jessica Pegula,2020,0.196,5,0.196,0.296,0.44,0.233,0.328,0.232,0.262,0.279,0.348,0.296,0.838,0.513,0.424,0.329,0.305,0.324
Jessica Pegula,2021,0.222,15,0.222,0.295,0.482,0.265,0.366,0.424,0.26,0.284,0.22,0.316,0.814,0.541,0.246,0.276,0.313,0.335
Jessica Pegula,2022,0.218,17,0.218,0.288,0.443,0.261,0.359,0.35,0.24,0.295,0.286,0.303,0.789,0.548,0.319,0.301,0.3,0.329
Jessica Pegula,2023,0.242,31,0.242,0.311,0.485,0.292,0.387,0.392,0.27,0.243,0.263,0.332,0.78,0.556,0.252,0.285,0.344,0.349
Jessica Pegula,2024,0.254,27,0.254,0.323,0.477,0.3,0.388,0.5,0.278,0.26,0.318,0.336,0.805,0.575,0.3,0.31,0.344,0.359
Jessica Pegula,2025,0.217,18,0.217,0.306,0.498,0.25,0.361,0.524,0.277,0.343,0.405,0.321,0.83,0.509,0.424,0.363,0.33,0.35
Karolina Muchova,2018,0.208,1,0.208,0.302,0.488,0.259,0.371,0.54,0.263,0.436,0.276,0.32,0.806,0.52,0.225,0.315,0.352,0.339
Karolina Muchova,2019,0.234,22,0.234,0.338,0.517,0.279,0.396,0.672,0.269,0.427,0.391,0.336,0.778,0.516,0.453,0.389,0.35,0.369
Karolina Muchova,2020,0.195,7,0.195,0.295,0.475,0.24,0.348,0.493,0.245,0.408,0.317,0.3,0.815,0.488,0.389,0.343,0.287,0.33
Karolina Muchova,2021,0.241,11,0.241,0.326,0.502,0.304,0.402,0.366,0.257,0.413,0.282,0.334,0.769,0.548,0.298,0.332,0.351,0.361
Karolina Muchova,2022,0.231,7,0.231,0.31,0.466,0.268,0.363,0.413,0.257,0.471,0.55,0.313,0.789,0.547,0.606,0.451,0.313,0.363
Karolina Muchova,2023,0.224,23,0.224,0.335,0.523,0.265,0.383,0.491,0.288,0.513,0.409,0.338,0.802,0.493,0.425,0.405,0.355,0.368
Karolina Muchova,2024,0.296,11,0.296,0.406,0.517,0.359,0.457,0.535,0.312,0.451,0.387,0.389,0.762,0.584,0.281,0.379,0.408,0.41
Karolina Muchova,2025,0.236,9,0.236,0.353,0.425,0.296,0.388,0.58,0.28,0.57,0.429,0.337,0.805,0.582,0.51,0.436,0.32,0.372
Madison Keys,2014,0.309,8,0.309,0.406,0.46,0.407,0.472,0.572,0.295,0.429,0.341,0.389,0.708,0.66,0.489,0.407,0.403,0.416
Madison Keys,2015,0.331,17,0.331,0.438,0.49,0.421,0.499,0.612,0.297,0.415,0.287,0.405,0.67,0.649,0.336,0.37,0.425,0.427
Madison Keys,2016,0.206,12,0.206,0.293,0.462,0.255,0.346,0.229,0.259,0.616,0.643,0.305,0.846,0.518,0.759,0.526,0.297,0.361
Madison Keys,2017,0.281,7,0.281,0.405,0.515,0.348,0.441,0.521,0.312,0.538,0.497,0.38,0.75,0.574,0.574,0.474,0.403,0.418
Madison Keys,2018,0.299,11,0.299,0.416,0.457,0.396,0.472,0.749,0.258,0.465,0.53,0.373,0.676,0.628,0.374,0.423,0.373,0.41
Madison Keys,2019,0.312,14,0.312,0.434,0.485,0.414,0.491,0.574,0.28,0.512,0.656,0.393,0.673,0.639,0.581,0.507,0.411,0.438
Madison Keys,2020,0.303,3,0.303,0.396,0.478,0.391,0.464,0.847,0.234,0.565,0.499,0.357,0.655,0.647,0.417,0.439,0.347,0.411
Madison Keys,2021,0.334,4,0.334,0.428,0.393,0.42,0.457,0.277,0.261,0.503,0.386,0.366,0.683,0.7,0.371,0.398,0.349,0.411
Madison Keys,2022,0.29,8,0.29,0.378,0.456,0.339,0.405,0.572,0.288,0.447,0.596,0.35,0.77,0.576,0.46,0.441,0.368,0.394
Madison Keys,2023,0.242,11,0.242,0.358,0.49,0.284,0.391,0.462,0.27,0.48,0.596,0.335,0.789,0.532,0.608,0.471,0.34,0.383
Madison Keys,2024,0.243,10,0.243,0.364,0.479,0.257,0.369,0.662,0.327,0.409,0.459,0.348,0.884,0.519,0.462,0.405,0.352,0.375
Madison Keys,2025,0.286,17,0.286,0.42,0.469,0.338,0.43,0.624,0.322,0.472,0.454,0.379,0.77,0.587,0.483,0.433,0.398,0.409
Mirra Andreeva,2022,0.175,1,0.175,0.211,0.435,0.171,0.257,0.4,0.261,0.321,0.196,0.258,0.993,0.477,0.111,0.229,0.232,0.278
Mirra Andreeva,2023,0.205,10,0.205,0.291,0.519,0.235,0.346,0.551,0.298,0.426,0.37,0.323,0.841,0.484,0.454,0.379,0.334,0.349
Mirra Andreeva,2024,0.188,23,0.188,0.262,0.467,0.231,0.329,0.593,0.24,0.447,0.399,0.287,0.83,0.491,0.535,0.391,0.293,0.327
Mirra Andreeva,2025,0.238,44,0.238,0.32,0.53,0.303,0.406,0.465,0.283,0.346,0.211,0.348,0.763,0.536,0.217,0.294,0.368,0.36
Paula Badosa,2015,0.293,1,0.293,0.328,0.265,0.452,0.435,0.09,0.176,0.125,0.689,0.315,0.595,0.838,0.5,0.389,0.284,0.368
Paula Badosa,2019,0.232,5,0.232,0.311,0.487,0.315,0.399,0.446,0.241,0.39,0.603,0.325,0.734,0.582,0.522,0.433,0.322,0.371
Paula Badosa,2020,0.242,5,0.242,0.315,0.439,0.291,0.366,0.448,0.262,0.46,0.596,0.317,0.799,0.585,0.526,0.443,0.299,0.366
Paula Badosa,2021,0.228,21,0.228,0.321,0.503,0.266,0.371,0.66,0.306,0.385,0.545,0.339,0.847,0.514,0.391,0.4,0.349,0.365
Paula Badosa,2022,0.236,20,0.236,0.329,0.488,0.288,0.385,0.497,0.285,0.348,0.458,0.338,0.812,0.53,0.334,0.363,0.348,0.361
Paula Badosa,2023,0.245,4,0.245,0.337,0.467,0.319,0.404,0.648,0.295,0.472,0.561,0.353,0.809,0.586,0.617,0.471,0.333,0.387
Paula Badosa,2024,0.247,17,0.247,0.354,0.5,0.337,0.431,0.432,0.286,0.395,0.526,0.363,0.754,0.577,0.404,0.41,0.364,0.387
Paula Badosa,2025,0.298,9,0.298,0.404,0.521,0.377,0.461,0.506,0.316,0.326,0.34,0.393,0.755,0.604,0.187,0.328,0.41,0.406
Qinwen Zheng,2021,0.304,1,0.304,0.435,0.465,0.452,0.554,0.55,0.3,0.613,0.703,0.436,0.603,0.676,0.834,0.604,0.48,0.463
Qinwen Zheng,2022,0.257,13,0.257,0.359,0.455,0.375,0.472,0.389,0.229,0.503,0.347,0.36,0.633,0.622,0.467,0.407,0.349,0.387
Qinwen Zheng,2023,0.264,18,0.264,0.368,0.467,0.384,0.459,0.461,0.278,0.462,0.447,0.375,0.706,0.63,0.411,0.414,0.382,0.397
Qinwen Zheng,2024,0.309,41,0.309,0.408,0.471,0.435,0.517,0.568,0.278,0.469,0.375,0.406,0.627,0.666,0.375,0.406,0.426,0.423
Qinwen Zheng,2025,0.247,11,0.247,0.35,0.469,0.324,0.428,0.296,0.266,0.433,0.307,0.353,0.735,0.583,0.345,0.358,0.36,0.372
Tatjana Maria,2015,0.327,3,0.327,0.398,0.546,0.458,0.563,0.82,0.256,0.325,0.549,0.421,0.557,0.668,0.5,0.443,0.463,0.445
Tatjana Maria,2017,0.212,4,0.212,0.274,0.419,0.339,0.406,0.342,0.191,0.385,0.701,0.307,0.65,0.645,0.594,0.459,0.276,0.356
Tatjana Maria,2018,0.233,6,0.233,0.303,0.456,0.328,0.422,0.495,0.226,0.225,0.32,0.331,0.688,0.597,0.165,0.274,0.331,0.344
Tatjana Maria,2019,0.139,2,0.139,0.212,0.376,0.182,0.264,0.385,0.184,0.234,0.323,0.227,0.828,0.447,0.125,0.227,0.204,0.251
Tatjana Maria,2021,0.192,1,0.192,0.308,0.463,0.273,0.401,1.04,0.214,0.414,0.267,0.314,0.688,0.528,0.325,0.327,0.283,0.334
Tatjana Maria,2022,0.266,7,0.266,0.354,0.512,0.369,0.469,0.469,0.259,0.38,0.42,0.371,0.687,0.589,0.429,0.394,0.387,0.394
Tatjana Maria,2023,0.203,6,0.203,0.266,0.39,0.232,0.318,0.337,0.242,0.294,0.392,0.282,0.857,0.558,0.269,0.304,0.277,0.311
Tatjana Maria,2024,0.246,1,0.246,0.342,0.476,0.348,0.466,0.54,0.189,0.075,0.429,0.338,0.574,0.61,0.25,0.286,0.372,0.36
Tatjana Maria,2025,0.275,3,0.275,0.36,0.435,0.36,0.429,0.393,0.222,0.423,0.336,0.333,0.665,0.653,0.458,0.377,0.324,0.379
