Player,Metric,Rank,Value,Matches
Ekaterina Alexandrova,First_Serve_Dominance,3,0.452,81
Aryna Sabalenka,First_Serve_Dominance,4,0.444,469
Madison Keys,First_Serve_Dominance,5,0.436,122
Tatjana Maria,First_Serve_Dominance,6,0.415,33
Coco Gauff,First_Serve_Dominance,7,0.406,154
Paula Badosa,First_Serve_Dominance,8,0.406,82
Iga Swiatek,First_Serve_Dominance,9,0.396,336
Clara Tauson,First_Serve_Dominance,10,0.389,48
Coco Gauff,Second_Serve_Aggression,1,0.727,154
Emma Navarro,Second_Serve_Aggression,2,0.662,48
Jasmine Paolini,Second_Serve_Aggression,3,0.593,83
Amanda Anisimova,Second_Serve_Aggression,4,0.587,74
Aryna Sabalenka,Second_Serve_Aggression,5,0.577,469
Elina Svitolina,Second_Serve_Aggression,6,0.565,226
Iga Swiatek,Second_Serve_Aggression,7,0.562,336
Madison Keys,Second_Serve_Aggression,8,0.558,122
Tatjana Maria,Second_Serve_Aggression,9,0.536,33
Clara Tauson,Second_Serve_Aggression,10,0.532,48
Aryna Sabalenka,Second_Serve_Effectiveness,1,0.329,469
Coco Gauff,Second_Serve_Effectiveness,2,0.306,154
Iga Swiatek,Second_Serve_Effectiveness,3,0.305,336
Elena Rybakina,Second_Serve_Effectiveness,4,0.29,155
Amanda Anisimova,Second_Serve_Effectiveness,5,0.285,74
Madison Keys,Second_Serve_Effectiveness,6,0.284,122
Ekaterina Alexandrova,Second_Serve_Effectiveness,7,0.282,81
Karolina Muchova,Second_Serve_Effectiveness,8,0.271,91
Paula Badosa,Second_Serve_Effectiveness,9,0.271,82
Mirra Andreeva,Second_Serve_Effectiveness,10,0.27,78
Aryna Sabalenka,First_Serve_Placement_Strategy,1,0.508,469
Qinwen Zheng,First_Serve_Placement_Strategy,2,0.496,84
Madison Keys,First_Serve_Placement_Strategy,3,0.488,122
Amanda Anisimova,First_Serve_Placement_Strategy,4,0.47,74
Ekaterina Alexandrova,First_Serve_Placement_Strategy,5,0.466,81
Karolina Muchova,First_Serve_Placement_Strategy,6,0.461,91
Emma Navarro,First_Serve_Placement_Strategy,7,0.459,48
Elena Rybakina,First_Serve_Placement_Strategy,8,0.429,155
Clara Tauson,First_Serve_Placement_Strategy,9,0.41,48
Coco Gauff,First_Serve_Placement_Strategy,10,0.404,154
Paula Badosa,Second_Serve_Placement_Strategy,1,0.54,82
Madison Keys,Second_Serve_Placement_Strategy,2,0.495,122
Aryna Sabalenka,Second_Serve_Placement_Strategy,3,0.465,469
Qinwen Zheng,Second_Serve_Placement_Strategy,4,0.436,84
Tatjana Maria,Second_Serve_Placement_Strategy,5,0.415,33
Elena Rybakina,Second_Serve_Placement_Strategy,6,0.412,155
Clara Tauson,Second_Serve_Placement_Strategy,7,0.405,48
Jasmine Paolini,Second_Serve_Placement_Strategy,8,0.394,83
Iga Swiatek,Second_Serve_Placement_Strategy,9,0.388,336
Karolina Muchova,Second_Serve_Placement_Strategy,10,0.38,91
Aryna Sabalenka,Serve_Type_Adaptability,1,0.39,469
Qinwen Zheng,Serve_Type_Adaptability,2,0.386,84
Elena Rybakina,Serve_Type_Adaptability,3,0.382,155
Ekaterina Alexandrova,Serve_Type_Adaptability,4,0.372,81
Madison Keys,Serve_Type_Adaptability,5,0.365,122
Coco Gauff,Serve_Type_Adaptability,6,0.359,154
Iga Swiatek,Serve_Type_Adaptability,7,0.353,336
Paula Badosa,Serve_Type_Adaptability,8,0.343,82
Karolina Muchova,Serve_Type_Adaptability,9,0.333,91
Clara Tauson,Serve_Type_Adaptability,10,0.328,48
Mirra Andreeva,Serve_Consistency,1,0.857,78
Jasmine Paolini,Serve_Consistency,2,0.84,83
Amanda Anisimova,Serve_Consistency,3,0.83,74
Emma Navarro,Serve_Consistency,4,0.814,48
Iga Swiatek,Serve_Consistency,5,0.807,336
Karolina Muchova,Serve_Consistency,6,0.791,91
Coco Gauff,Serve_Consistency,7,0.788,154
Aryna Sabalenka,Serve_Consistency,8,0.78,469
Clara Tauson,Serve_Consistency,9,0.777,48
Jessica Pegula,Serve_Consistency,10,0.775,123
Qinwen Zheng,Power_Control_Balance,1,0.635,84
Ekaterina Alexandrova,Power_Control_Balance,2,0.613,81
Madison Keys,Power_Control_Balance,3,0.602,122
Paula Badosa,Power_Control_Balance,4,0.602,82
Elena Rybakina,Power_Control_Balance,5,0.599,155
Tatjana Maria,Power_Control_Balance,6,0.588,33
Coco Gauff,Power_Control_Balance,7,0.559,154
Aryna Sabalenka,Power_Control_Balance,8,0.551,469
Jessica Pegula,Power_Control_Balance,9,0.545,123
Karolina Muchova,Power_Control_Balance,10,0.535,91
Madison Keys,Clutch_Serving,1,0.493,122
Clara Tauson,Clutch_Serving,2,0.487,48
Qinwen Zheng,Clutch_Serving,3,0.486,84
Jasmine Paolini,Clutch_Serving,4,0.477,83
Ekaterina Alexandrova,Clutch_Serving,5,0.457,81
Elena Rybakina,Clutch_Serving,6,0.451,155
Aryna Sabalenka,Clutch_Serving,7,0.448,469
Paula Badosa,Clutch_Serving,8,0.435,82
Emma Navarro,Clutch_Serving,9,0.418,48
Amanda Anisimova,Clutch_Serving,10,0.417,74
Madison Keys,Serve_Tactical_Intelligence,1,0.441,122
Aryna Sabalenka,Serve_Tactical_Intelligence,2,0.44,469
Qinwen Zheng,Serve_Tactical_Intelligence,3,0.438,84
Elena Rybakina,Serve_Tactical_Intelligence,4,0.411,155
Ekaterina Alexandrova,Serve_Tactical_Intelligence,5,0.409,81
Paula Badosa,Serve_Tactical_Intelligence,6,0.405,82
Clara Tauson,Serve_Tactical_Intelligence,7,0.391,48
Amanda Anisimova,Serve_Tactical_Intelligence,8,0.382,74
Karolina Muchova,Serve_Tactical_Intelligence,9,0.381,91
Iga Swiatek,Serve_Tactical_Intelligence,10,0.366,336
Aryna Sabalenka,Serve_Match_Impact,1,0.408,469
Qinwen Zheng,Serve_Match_Impact,2,0.399,84
Elena Rybakina,Serve_Match_Impact,3,0.388,155
Ekaterina Alexandrova,Serve_Match_Impact,4,0.38,81
Iga Swiatek,Serve_Match_Impact,5,0.373,336
Madison Keys,Serve_Match_Impact,6,0.372,122
Coco Gauff,Serve_Match_Impact,7,0.369,154
Karolina Muchova,Serve_Match_Impact,8,0.342,91
Clara Tauson,Serve_Match_Impact,9,0.34,48
Paula Badosa,Serve_Match_Impact,10,0.339,82
Aryna Sabalenka,Overall_Serve_Game,1,0.41,469
Qinwen Zheng,Overall_Serve_Game,2,0.408,84
Elena Rybakina,Overall_Serve_Game,3,0.406,155
Madison Keys,Overall_Serve_Game,4,0.404,122
Ekaterina Alexandrova,Overall_Serve_Game,5,0.399,81
Paula Badosa,Overall_Serve_Game,6,0.376,82
Coco Gauff,Overall_Serve_Game,7,0.371,154
Iga Swiatek,Overall_Serve_Game,8,0.37,336
Karolina Muchova,Overall_Serve_Game,9,0.364,91
Clara Tauson,Overall_Serve_Game,10,0.36,48
