Player,Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
Iga Swiatek,2025 Roland Garros R32,W vsCristian,4.2,4.5,4.0,54.1%,64.3%,50.0%,81.8%,55.1%,0.9%,29.5,23.2,5.5,5.1
Iga Swiatek,2025 Roland Garros R64,W vsRaducanu,4.2,4.4,4.0,60.0%,61.3%,64.3%,71.4%,47.3%,1.0%,16.0,19.0,7.0,7.5
Iga Swiatek,2025 Roland Garros R128,W vsSramkova,3.7,3.3,4.0,53.6%,54.1%,70.0%,60.0%,48.1%,2.1%,20.0,23.3,3.5,3.8
Iga Swiatek,2025 Madrid SF,L vsGauff,3.3,3.6,3.0,35.4%,17.4%,50.0%,0.0%,56.4%,6.8%,-10.5,-18.8,-1.5,-3.7
Iga Swiatek,2025 Madrid R32,W vsNoskova,3.3,3.6,2.9,54.5%,57.7%,80.0%,50.0%,42.9%,5.6%,4.5,9.4,9.0,13.2
Iga Swiatek,2025 Madrid R64,W vsEala,3.0,2.7,3.3,53.3%,62.2%,50.0%,66.7%,54.6%,1.9%,17.5,14.6,7.5,7.6
Iga Swiatek,2025 Stuttgart QF,L vsOstapenko,2.7,2.8,2.5,46.0%,56.0%,50.0%,20.0%,49.7%,7.7%,6.5,9.8,3.0,4.2
Iga Swiatek,2025 Miami QF,L vsEala,3.2,3.4,2.9,47.0%,36.4%,42.9%,50.0%,51.4%,2.3%,0.5,0.6,3.5,4.2
Iga Swiatek,2025 Miami R16,W vsSvitolina,4.6,4.4,4.7,50.6%,68.6%,65.2%,29.4%,65.9%,3.8%,10.5,5.4,21.0,21.2
Iga Swiatek,2025 Miami R32,W vsMertens,3.9,3.7,4.0,53.2%,56.1%,63.6%,58.3%,39.6%,2.2%,3.5,4.3,14.5,11.0
Iga Swiatek,2025 Miami R64,W vsGarcia,3.2,2.8,3.5,56.1%,66.7%,61.5%,100.0%,44.1%,5.6%,18.5,27.6,13.0,16.3
Iga Swiatek,2025 Indian Wells SF,L vsAndreeva,3.9,3.9,3.9,45.3%,60.0%,65.0%,55.6%,46.8%,8.1%,15.5,12.2,0.5,0.4
Iga Swiatek,2025 Indian Wells QF,W vsZheng,4.4,4.5,4.4,54.7%,63.2%,45.5%,72.7%,49.1%,1.8%,10.5,10.3,2.5,2.3
Iga Swiatek,2025 Indian Wells R16,W vsMuchova,3.5,4.2,2.9,64.6%,62.5%,83.3%,66.7%,50.0%,5.6%,9.0,17.6,9.0,19.1
Iga Swiatek,2025 Indian Wells R32,W vsYastremska,3.3,3.2,3.4,67.8%,68.2%,20.0%,33.3%,33.3%,0.0%,4.0,10.0,2.5,3.0
Iga Swiatek,2025 Indian Wells R64,W vsGarcia,3.2,3.0,3.4,61.4%,80.0%,62.5%,33.3%,33.9%,1.3%,7.0,18.4,14.0,18.9
Iga Swiatek,2025 Dubai QF,L vsAndreeva,3.4,3.7,3.1,40.3%,41.2%,46.7%,0.0%,47.2%,1.1%,0.5,0.6,-1.0,-1.1
Iga Swiatek,2025 Doha SF,L vsOstapenko,2.6,2.6,2.6,38.9%,44.4%,0.0%,50.0%,62.4%,3.1%,-1.0,-1.9,2.0,6.7
Iga Swiatek,2025 Doha QF,W vsRybakina,3.8,4.1,3.6,48.7%,67.6%,77.8%,50.0%,49.0%,3.0%,5.5,6.2,17.0,18.3
Iga Swiatek,2025 Doha R32,W vsSakkari,4.6,4.4,4.8,59.6%,65.5%,33.3%,72.7%,49.8%,3.9%,7.0,7.5,7.0,7.2
Iga Swiatek,2025 Australian Open SF,L vsKeys,3.7,3.8,3.6,43.3%,50.0%,52.6%,66.7%,53.0%,6.1%,11.5,7.3,4.0,3.0
Iga Swiatek,2025 Australian Open QF,W vsNavarro,5.8,6.2,5.3,53.7%,65.5%,58.3%,66.7%,48.8%,1.3%,16.0,11.9,19.0,13.2
Iga Swiatek,2025 Australian Open R16,W vsLys,4.0,3.0,4.8,70.2%,76.9%,28.6%,66.7%,59.2%,3.3%,13.5,16.1,9.0,15.8
Iga Swiatek,2025 Australian Open R32,W vsRaducanu,4.3,3.7,4.6,66.0%,64.3%,75.0%,66.7%,42.6%,0.0%,15.5,22.8,14.0,15.4
Iga Swiatek,2025 Australian Open R64,W vsSramkova,4.5,4.8,4.2,52.8%,68.2%,87.5%,88.9%,55.6%,3.1%,14.0,17.5,3.0,4.9
Iga Swiatek,2025 Australian Open R128,W vsSiniakova,3.9,4.4,3.4,55.2%,66.7%,56.3%,40.0%,49.2%,1.1%,11.5,14.0,4.5,5.1
Iga Swiatek,2025 United Cup F,L vsGauff,3.9,4.3,3.4,50.7%,38.2%,33.3%,60.0%,59.4%,4.9%,3.0,2.5,2.5,3.3
Iga Swiatek,2025 United Cup SF,W vsRybakina,4.0,3.9,4.0,47.8%,60.5%,55.0%,55.6%,48.3%,4.3%,14.0,11.9,2.5,2.0
Iga Swiatek,2025 United Cup QF,W vsBoulter,4.1,3.8,4.5,54.4%,53.2%,50.0%,62.5%,44.2%,2.0%,7.0,4.9,7.0,3.7
Iga Swiatek,2025 United Cup RR,W vsMuchova,3.7,3.8,3.6,48.2%,55.8%,61.5%,83.3%,61.5%,3.8%,13.5,11.3,6.0,8.3
Iga Swiatek,2025 United Cup RR,W vsHelgo,2.8,2.6,3.0,63.2%,85.7%,33.3%,100.0%,50.5%,2.1%,20.5,44.6,13.0,28.9
Iga Swiatek,2024 BJK Cup SF,W vsPaolini,3.5,3.3,3.8,50.0%,43.9%,50.0%,81.8%,58.7%,3.2%,4.0,2.3,11.5,9.5
Iga Swiatek,2024 BJK Cup QF,W vsNoskova,3.4,3.1,3.7,52.9%,40.5%,42.9%,64.3%,55.3%,5.1%,10.0,7.2,2.5,2.3
Iga Swiatek,2024 BJK Cup R16,W vsBadosa,4.1,4.3,4.0,46.8%,61.2%,61.1%,58.8%,58.0%,5.6%,11.0,5.8,-1.0,-0.7
Iga Swiatek,2024 Riyadh Finals RR,W vsKrejcikova,3.0,2.8,3.3,53.4%,50.0%,61.5%,40.0%,48.9%,5.3%,-0.5,-0.5,14.0,13.3
Iga Swiatek,2024 Riyadh Finals RR,L vsGauff,3.7,4.1,3.3,44.4%,41.4%,54.5%,46.2%,55.9%,2.0%,-9.0,-7.3,-7.0,-7.3
Iga Swiatek,2024 Riyadh Finals RR,W vsKasatkina,3.4,3.5,3.3,66.7%,66.7%,100.0%,75.0%,48.5%,1.9%,10.0,20.4,14.0,26.9
Iga Swiatek,2024 US Open QF,L vsPegula,4.3,4.0,4.7,48.4%,32.3%,0.0%,61.5%,58.0%,2.3%,-5.0,-4.2,0.5,0.6
Iga Swiatek,2024 US Open R16,W vsSamsonova,3.7,3.8,3.6,62.5%,47.8%,58.8%,50.0%,56.0%,4.1%,-1.0,-1.1,8.0,11.3
Iga Swiatek,2024 US Open R32,W vsPavlyuchenkova,3.4,3.0,3.7,54.9%,68.0%,50.0%,80.0%,47.2%,2.7%,13.0,20.6,16.0,21.9
Iga Swiatek,2024 US Open R128,W vsRakhimova,3.8,3.7,4.0,51.1%,55.2%,35.3%,90.0%,55.8%,2.8%,12.5,9.5,-1.5,-1.5
Iga Swiatek,2024 Cincinnati SF,L vsSabalenka,2.7,2.7,2.8,45.7%,34.4%,50.0%,100.0%,56.9%,3.4%,-10.5,-13.5,4.5,7.9
Iga Swiatek,2024 Cincinnati QF,W vsAndreeva,3.2,3.2,3.3,54.7%,46.2%,46.2%,57.1%,41.3%,2.6%,6.0,6.0,2.0,1.3
Iga Swiatek,2024 Cincinnati R16,W vsKostyuk,3.1,2.8,3.4,62.9%,65.0%,60.0%,0.0%,46.9%,3.3%,3.0,6.1,8.0,14.3
Iga Swiatek,2024 Cincinnati R32,W vsGracheva,4.3,3.8,4.7,54.5%,68.3%,50.0%,76.5%,56.6%,2.9%,27.5,15.6,12.5,9.3
Iga Swiatek,2024 Paris Olympics BR,W vsSchmiedlova,4.0,3.7,4.2,66.7%,60.0%,66.7%,100.0%,51.1%,2.9%,12.0,17.4,10.0,15.2
Iga Swiatek,2024 Paris Olympics SF,L vsZheng,4.0,4.3,3.7,43.8%,47.2%,38.5%,50.0%,39.4%,2.3%,1.0,1.2,-3.0,-2.4
Iga Swiatek,2024 Paris Olympics QF,W vsCollins,3.5,3.4,3.7,53.9%,53.5%,46.7%,50.0%,51.8%,3.3%,1.5,1.6,5.5,6.4
Iga Swiatek,2024 Paris Olympics R16,W vsWang,4.2,4.2,4.1,51.6%,63.2%,43.8%,42.9%,47.9%,1.8%,15.0,16.0,1.0,1.0
Iga Swiatek,2024 Paris Olympics R32,W vsParry,4.4,4.3,4.5,60.4%,76.0%,57.1%,62.5%,42.2%,4.8%,7.0,10.3,18.0,18.4
Iga Swiatek,2024 Paris Olympics R64,W vsBegu,4.2,4.0,4.4,51.4%,70.4%,52.6%,66.7%,43.9%,3.1%,6.0,6.4,7.0,5.7
Iga Swiatek,2024 Wimbledon R32,L vsPutintseva,3.8,3.9,3.7,49.5%,35.0%,38.5%,63.6%,66.8%,5.8%,1.0,0.6,5.5,7.0
Iga Swiatek,2024 Wimbledon R64,W vsMartic,3.0,2.8,3.2,54.8%,63.0%,60.0%,100.0%,57.5%,5.6%,16.0,23.2,3.0,6.3
Iga Swiatek,2024 Wimbledon R128,W vsKenin,2.8,2.7,2.9,62.7%,47.6%,40.0%,25.0%,52.5%,10.3%,7.0,11.3,6.5,12.5
Iga Swiatek,2024 Roland Garros F,W vsPaolini,4.9,5.0,4.8,64.3%,78.3%,50.0%,54.5%,47.4%,1.0%,14.5,17.1,9.5,9.8
Iga Swiatek,2024 Roland Garros SF,W vsGauff,3.9,4.1,3.7,60.8%,46.7%,53.8%,66.7%,56.9%,4.6%,3.0,2.8,5.5,6.8
Iga Swiatek,2024 Roland Garros QF,W vsVondrousova,5.0,4.3,5.5,50.0%,81.3%,66.7%,66.7%,42.2%,2.7%,24.5,31.0,11.0,10.2
Iga Swiatek,2024 Roland Garros R16,W vsPotapova,4.0,3.2,4.7,83.9%,76.5%,100.0%,85.7%,46.3%,5.9%,13.5,31.4,13.0,27.1
Iga Swiatek,2024 Roland Garros R32,W vsBouzkova,5.4,5.1,5.6,52.4%,63.3%,66.7%,54.5%,54.5%,2.6%,23.0,16.9,14.0,12.7
Iga Swiatek,2024 Roland Garros R64,W vsOsaka,4.1,4.5,3.6,40.7%,54.4%,60.9%,71.4%,40.7%,2.3%,13.0,9.5,15.5,7.5
Iga Swiatek,2024 Roland Garros R128,W vsJeanjean,3.8,3.4,4.2,59.6%,73.9%,66.7%,75.0%,51.5%,3.1%,12.0,19.0,7.5,11.9
Iga Swiatek,2024 Rome F,W vsSabalenka,3.7,3.7,3.7,62.1%,46.4%,72.7%,66.7%,41.3%,3.1%,11.5,19.8,9.5,10.1
Iga Swiatek,2024 Rome SF,W vsGauff,4.0,4.5,3.7,56.0%,54.3%,57.9%,44.4%,50.2%,0.0%,14.5,13.7,14.5,13.2
Iga Swiatek,2024 Rome QF,W vsKeys,3.5,3.2,4.0,63.8%,51.5%,54.5%,66.7%,51.0%,8.2%,3.5,4.8,2.5,3.8
Iga Swiatek,2024 Rome R16,W vsKerber,4.3,4.1,4.4,55.9%,69.4%,31.3%,54.5%,46.4%,3.1%,12.0,11.5,19.0,15.7
Iga Swiatek,2024 Rome R32,W vsPutintseva,4.0,4.3,3.7,49.3%,55.6%,94.1%,33.3%,49.8%,1.7%,16.5,15.3,6.5,5.8
Iga Swiatek,2024 Rome R64,W vsPera,3.5,3.4,3.6,59.7%,64.5%,64.3%,0.0%,49.0%,6.3%,8.5,11.6,20.0,26.7
Iga Swiatek,2024 Madrid F,W vsSabalenka,3.5,3.7,3.3,51.4%,40.7%,60.0%,80.0%,46.8%,2.3%,18.5,13.2,13.5,8.2
Iga Swiatek,2024 Madrid SF,W vsKeys,4.6,4.9,4.2,59.6%,76.9%,53.8%,55.6%,50.8%,1.1%,13.5,16.3,14.5,17.1
Iga Swiatek,2024 Madrid QF,W vsHaddad Maia,4.7,3.8,5.4,51.2%,72.1%,40.0%,71.4%,47.6%,0.5%,15.5,9.5,5.0,2.7
Iga Swiatek,2024 Madrid R16,W vsSorribes Tormo,5.9,6.7,5.2,63.0%,89.5%,76.5%,61.5%,48.0%,5.8%,13.0,13.7,12.5,13.0
Iga Swiatek,2024 Madrid R32,W vsCirstea,4.7,4.4,4.9,60.4%,67.9%,42.9%,87.5%,47.8%,2.8%,5.0,5.4,17.5,17.5
Iga Swiatek,2024 Madrid R64,W vsWang,3.4,3.4,3.4,56.3%,61.5%,66.7%,60.0%,56.3%,3.2%,8.0,10.0,9.0,15.0
Iga Swiatek,2024 Stuttgart SF,L vsRybakina,3.7,3.9,3.5,43.8%,48.3%,70.0%,70.0%,48.8%,5.8%,26.0,18.3,28.5,19.5
Iga Swiatek,2024 Stuttgart QF,W vsRaducanu,4.2,3.9,4.3,52.6%,52.4%,73.7%,70.0%,47.6%,2.1%,19.5,15.7,17.0,12.5
Iga Swiatek,2024 Stuttgart R16,W vsMertens,4.1,4.0,4.1,53.3%,63.3%,68.8%,28.6%,44.3%,2.9%,17.5,23.6,12.0,12.0
Iga Swiatek,2024 BJK Cup RR,W vsNaef,4.0,3.6,4.3,59.4%,57.1%,40.0%,66.7%,51.4%,4.7%,7.0,7.9,3.0,3.7
Iga Swiatek,2024 BJK Cup RR,W vsWaltert,4.2,4.4,4.0,67.3%,55.6%,64.3%,55.6%,49.5%,2.1%,13.0,14.6,10.0,11.1
Iga Swiatek,2024 Miami R16,L vsAlexandrova,2.8,3.0,2.7,46.3%,32.1%,75.0%,50.0%,50.5%,3.6%,1.5,2.8,4.0,7.5
Iga Swiatek,2024 Miami R32,W vsNoskova,3.9,3.5,4.2,52.5%,57.8%,34.8%,66.7%,54.3%,1.3%,4.5,2.7,7.0,4.8
Iga Swiatek,2024 Miami R64,W vsGiorgi,3.5,3.2,3.7,68.6%,61.5%,54.5%,0.0%,55.2%,0.0%,7.0,10.3,5.0,8.3
Iga Swiatek,2024 Indian Wells F,W vsSakkari,4.4,4.3,4.4,62.8%,64.0%,66.7%,71.4%,48.5%,8.2%,12.0,15.6,10.0,12.8
Iga Swiatek,2024 Indian Wells SF,W vsKostyuk,4.2,4.2,4.2,56.8%,72.4%,66.7%,50.0%,57.0%,2.9%,17.0,19.8,11.0,17.2
Iga Swiatek,2024 Indian Wells R16,W vsPutintseva,4.6,4.2,4.9,55.6%,73.7%,53.8%,85.7%,29.4%,0.7%,2.0,3.7,14.5,10.3
Iga Swiatek,2024 Indian Wells R32,W vsNoskova,3.2,3.5,2.8,64.1%,54.2%,62.5%,33.3%,43.1%,5.7%,9.0,17.6,4.0,6.1
Iga Swiatek,2024 Indian Wells R64,W vsCollins,3.1,3.1,3.0,67.2%,48.4%,50.0%,66.7%,52.1%,5.3%,5.5,9.2,2.5,4.7
Iga Swiatek,2024 Dubai SF,L vsKalinskaya,3.7,3.6,3.8,42.7%,50.0%,46.2%,87.5%,51.0%,4.2%,8.5,8.9,16.5,17.9
Iga Swiatek,2024 Dubai QF,W vsZheng,3.6,3.8,3.3,56.5%,54.5%,60.0%,66.7%,56.2%,4.7%,7.5,9.7,10.5,17.2
Iga Swiatek,2024 Dubai R16,W vsSvitolina,4.6,4.7,4.3,58.6%,60.0%,53.8%,50.0%,53.3%,3.0%,2.5,2.4,10.0,10.4
Iga Swiatek,2024 Dubai R32,W vsStephens,4.8,4.4,5.2,56.5%,64.3%,20.0%,52.4%,48.4%,4.2%,-1.0,-0.7,12.5,7.9
Iga Swiatek,2024 Doha F,W vsRybakina,4.6,4.8,4.3,53.0%,53.2%,58.8%,41.2%,52.3%,4.8%,6.5,4.1,13.0,9.4
Iga Swiatek,2024 Doha QF,W vsAzarenka,4.5,4.1,4.8,56.8%,65.0%,54.5%,80.0%,49.4%,2.5%,18.5,24.3,10.0,12.7
Iga Swiatek,2024 Doha R16,W vsAlexandrova,3.7,3.1,4.7,63.6%,55.6%,33.3%,42.9%,44.0%,5.9%,3.5,5.3,10.5,10.9
Iga Swiatek,2024 Doha R32,W vsCirstea,4.1,4.2,4.0,62.8%,63.3%,87.5%,80.0%,52.0%,4.2%,11.0,15.1,18.0,26.1
Iga Swiatek,2024 Australian Open R32,L vsNoskova,3.4,3.8,3.1,47.4%,56.8%,35.3%,55.6%,53.4%,2.6%,11.5,9.1,4.0,3.6
Iga Swiatek,2024 Australian Open R64,W vsCollins,3.6,3.4,3.7,50.4%,50.0%,50.0%,61.5%,47.7%,6.1%,9.0,7.2,14.5,10.6
Iga Swiatek,2024 Australian Open R128,W vsKenin,3.3,2.8,3.8,52.7%,62.5%,53.8%,80.0%,42.2%,1.9%,7.0,9.5,17.0,16.2
Iga Swiatek,2024 United Cup F,W vsKerber,3.8,3.8,3.9,66.7%,55.6%,53.8%,50.0%,49.7%,3.8%,20.0,27.8,12.5,17.1
Iga Swiatek,2024 United Cup SF,W vsGarcia,3.1,2.9,3.3,54.6%,60.6%,70.0%,100.0%,49.1%,2.4%,20.5,27.0,7.5,9.4
Iga Swiatek,2024 United Cup QF,W vsZheng,4.3,5.1,3.4,61.3%,60.7%,66.7%,53.8%,47.8%,6.5%,9.0,10.2,10.0,10.1
Iga Swiatek,2024 United Cup RR,W vsHaddad Maia,5.1,5.3,4.9,66.7%,59.1%,64.7%,57.1%,51.0%,1.0%,17.5,17.0,7.0,7.0
Iga Swiatek,2024 United Cup RR,W vsSorribes Tormo,5.7,4.6,6.7,61.4%,57.1%,72.2%,70.6%,52.9%,6.7%,18.5,14.0,15.5,13.8
Iga Swiatek,2023 Cancun Finals F,W vsPegula,4.7,3.6,5.9,75.0%,82.6%,40.0%,57.1%,57.9%,1.6%,9.0,11.1,9.0,15.3
Iga Swiatek,2023 Cancun Finals SF,W vsSabalenka,3.7,3.9,3.5,58.7%,52.6%,45.5%,77.8%,55.5%,3.9%,6.0,6.5,9.5,13.0
Iga Swiatek,2023 Cancun Finals RR,W vsVondrousova,4.0,3.6,4.4,68.3%,35.3%,78.6%,71.4%,45.5%,2.9%,6.5,7.9,10.0,10.0
Iga Swiatek,2023 Cancun Finals RR,W vsJabeur,3.7,4.0,3.4,76.9%,50.0%,43.8%,50.0%,52.1%,5.9%,14.0,20.3,9.0,14.1
Iga Swiatek,2023 Cancun Finals RR,W vsGauff,3.9,3.8,4.0,63.2%,51.9%,63.6%,50.0%,53.7%,0.0%,-4.0,-4.2,6.5,7.5
Iga Swiatek,2023 Beijing F,W vsSamsonova,3.2,3.0,3.4,71.2%,43.5%,50.0%,33.3%,50.0%,8.8%,7.0,14.0,-1.5,-3.0
Iga Swiatek,2023 Beijing SF,W vsGauff,4.3,3.9,4.7,53.7%,80.8%,37.5%,66.7%,43.3%,3.9%,13.5,18.8,14.5,14.9
Iga Swiatek,2023 Beijing QF,W vsGarcia,3.0,3.1,3.0,48.5%,64.3%,71.4%,33.3%,52.8%,6.4%,30.0,27.8,17.5,17.5
Iga Swiatek,2023 Beijing R16,W vsLinette,5.0,5.7,4.5,64.9%,68.8%,53.3%,88.9%,55.8%,1.3%,18.5,19.5,12.5,16.7
Iga Swiatek,2023 Beijing R32,W vsGracheva,4.2,4.3,4.2,63.6%,60.0%,42.9%,50.0%,50.6%,3.4%,7.0,8.0,7.0,8.2
Iga Swiatek,2023 Beijing R64,W vsSorribes Tormo,5.0,6.0,4.4,43.2%,69.2%,60.0%,64.3%,53.9%,5.3%,25.0,19.2,3.0,2.8
Iga Swiatek,2023 Tokyo QF,L vsKudermetova,3.4,3.4,3.4,41.4%,59.5%,61.5%,66.7%,65.3%,7.3%,1.5,1.0,9.5,12.5
Iga Swiatek,2023 Tokyo R16,W vsHontama,4.5,3.8,5.2,50.7%,46.7%,63.6%,64.3%,49.0%,1.9%,9.5,6.5,0.5,0.3
Iga Swiatek,2023 US Open R16,L vsOstapenko,2.9,2.9,2.9,47.0%,42.9%,57.1%,50.0%,55.6%,7.4%,-1.0,-1.2,9.5,15.1
Iga Swiatek,2023 US Open R32,W vsJuvan,4.1,4.5,3.6,67.9%,78.6%,87.5%,100.0%,59.6%,0.0%,26.5,41.4,12.0,27.9
Iga Swiatek,2023 US Open R64,W vsSaville,4.6,4.7,4.5,55.2%,65.4%,72.7%,35.3%,57.6%,2.2%,12.0,10.1,1.0,1.1
Iga Swiatek,2023 US Open R128,W vsPeterson,4.1,4.0,4.4,65.9%,75.0%,75.0%,80.0%,60.4%,5.7%,12.5,15.4,11.5,24.0
Iga Swiatek,2023 Cincinnati SF,L vsGauff,4.2,4.5,4.0,42.2%,62.8%,63.6%,52.9%,51.5%,3.4%,24.5,13.4,1.5,0.9
Iga Swiatek,2023 Cincinnati QF,W vsVondrousova,4.4,4.7,3.9,49.2%,56.7%,66.7%,73.3%,46.5%,3.4%,8.5,8.8,10.5,9.5
Iga Swiatek,2023 Cincinnati R16,W vsZheng,3.2,3.7,2.8,62.6%,45.2%,30.8%,75.0%,50.2%,3.0%,4.5,4.6,2.5,2.6
Iga Swiatek,2023 Cincinnati R32,W vsCollins,2.9,2.6,3.1,64.8%,63.2%,85.7%,100.0%,54.8%,0.0%,12.5,26.6,13.0,31.7
Iga Swiatek,2023 Montreal SF,L vsPegula,3.6,3.6,3.7,45.9%,43.1%,63.6%,42.9%,52.3%,2.9%,4.5,3.1,3.5,2.7
Iga Swiatek,2023 Montreal QF,W vsCollins,3.1,2.8,3.3,54.7%,48.8%,63.6%,50.0%,59.1%,3.6%,21.0,18.8,2.5,3.1
Iga Swiatek,2023 Montreal R16,W vsMuchova,3.5,3.7,3.4,54.0%,48.0%,47.1%,75.0%,53.7%,0.7%,8.5,5.4,7.0,5.1
Iga Swiatek,2023 Montreal R32,W vsPliskova,3.4,3.1,3.6,52.7%,64.0%,61.5%,75.0%,58.7%,3.7%,18.5,17.3,8.0,10.4
Iga Swiatek,2023 Warsaw F,W vsSiegemund,3.8,3.6,4.0,78.0%,65.2%,60.0%,0.0%,54.8%,7.1%,10.0,15.4,8.5,16.7
Iga Swiatek,2023 Warsaw SF,W vsWickmayer,4.3,4.3,4.3,54.9%,52.6%,65.2%,55.6%,49.4%,5.4%,16.0,13.2,15.5,12.8
Iga Swiatek,2023 Warsaw QF,W vsNoskova,3.3,3.5,3.1,58.0%,44.4%,75.0%,100.0%,49.0%,4.1%,14.5,22.3,5.5,8.2
Iga Swiatek,2023 Warsaw R16,W vsLiu,4.3,4.4,4.2,66.1%,54.8%,50.0%,44.4%,49.8%,1.8%,11.5,11.0,5.5,5.1
Iga Swiatek,2023 Warsaw R32,W vsAbduraimova,3.6,3.8,3.4,56.5%,37.0%,46.7%,88.9%,52.8%,0.0%,-4.0,-3.6,0.5,0.5
Iga Swiatek,2023 Wimbledon QF,L vsSvitolina,3.5,3.8,3.2,46.8%,43.6%,50.0%,50.0%,61.5%,1.8%,4.0,2.3,12.0,10.9
Iga Swiatek,2023 Wimbledon R16,W vsBencic,3.3,3.6,3.1,55.5%,41.5%,70.0%,36.4%,47.7%,2.7%,27.0,20.5,7.5,5.2
Iga Swiatek,2023 Wimbledon R32,W vsMartic,3.6,3.5,3.7,55.7%,57.6%,58.3%,57.1%,53.8%,4.4%,16.0,16.5,7.5,8.9
Iga Swiatek,2023 Wimbledon R64,W vsSorribes Tormo,5.8,6.9,5.0,59.5%,89.5%,72.7%,64.3%,54.4%,9.1%,27.0,23.7,10.0,11.1
Iga Swiatek,2023 Wimbledon R128,W vsZhu,4.3,4.5,4.2,60.9%,62.2%,76.9%,16.7%,45.2%,2.8%,14.5,17.1,12.0,11.4
Iga Swiatek,2023 Bad Homburg QF,W vsBlinkova,3.0,3.3,2.6,62.1%,64.0%,60.0%,100.0%,50.5%,3.7%,10.5,21.9,12.5,24.0
Iga Swiatek,2023 Bad Homburg R16,W vsTeichmann,4.2,3.8,4.7,56.0%,62.5%,78.6%,71.4%,56.5%,8.6%,7.0,8.0,12.0,19.0
Iga Swiatek,2023 Bad Homburg R32,W vsMaria,4.0,4.0,4.0,47.6%,71.4%,66.7%,70.0%,65.3%,10.3%,28.5,19.8,15.0,20.3
Iga Swiatek,2023 Roland Garros F,W vsMuchova,4.5,4.9,4.2,49.4%,62.3%,40.0%,75.0%,49.0%,4.0%,26.0,17.4,9.5,6.0
Iga Swiatek,2023 Roland Garros SF,W vsHaddad Maia,4.9,4.5,5.3,57.7%,46.4%,57.1%,43.8%,45.7%,2.4%,23.0,17.6,2.0,1.3
Iga Swiatek,2023 Roland Garros QF,W vsGauff,4.3,4.4,4.1,65.4%,56.5%,56.3%,40.0%,50.3%,3.4%,11.0,13.3,7.5,9.1
Iga Swiatek,2023 Roland Garros R16,W vsTsurenko,5.5,5.1,6.0,80.0%,50.0%,80.0%,66.7%,34.5%,1.8%,2.0,6.9,6.5,12.0
