Player,Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
Iga Swiatek,2024 Roland Garros F,W vsPaolini,0.0%,-,10.2%,55.6%,18.3%,13.3%,0.0%,12.7%,28.6%,0.0%,-,19,-8
Iga Swiatek,2024 Roland Garros SF,W vsGauff,0.0%,-,4.0%,40.0%,8.1%,16.7%,0.0%,11.1%,11.1%,0.0%,-,-28,-20
Iga Swiatek,2024 Roland Garros QF,W vsVondrousova,0.0%,-,9.0%,87.5%,34.8%,38.7%,0.0%,12.5%,14.3%,0.0%,-,62,21
Iga Swiatek,2024 Roland Garros R16,W vsPotapova,0.0%,-,12.1%,85.7%,20.0%,14.3%,100.0%,27.3%,55.6%,0.0%,-,20,87
Iga Swiatek,2024 Roland Garros R32,W vsBouzkova,0.0%,-,8.4%,88.9%,21.4%,17.4%,33.3%,15.9%,35.3%,0.0%,-,52,23
Iga Swiatek,2024 Roland Garros R64,W vsOsaka,0.0%,-,6.3%,85.7%,18.0%,30.6%,0.0%,10.1%,20.0%,0.0%,-,-10,-31
Iga Swiatek,2024 Roland Garros R128,W vsJeanjean,0.0%,-,16.9%,85.7%,25.0%,33.3%,0.0%,23.3%,18.8%,0.0%,-,247,205
Iga Swiatek,2024 Rome F,W vsSabalenka,0.0%,-,3.6%,100.0%,21.3%,55.6%,0.0%,12.3%,38.1%,0.0%,-,-36,1
Iga Swiatek,2024 Rome SF,W vsGauff,0.0%,-,10.9%,80.0%,20.5%,39.1%,0.0%,12.2%,15.8%,0.0%,-,-12,-11
Iga Swiatek,2024 Rome QF,W vsKeys,0.0%,-,6.7%,85.7%,20.6%,12.5%,100.0%,12.8%,25.0%,0.7%,100.0%,151,163
Iga Swiatek,2024 Rome R16,W vsKerber,0.0%,-,9.2%,50.0%,22.4%,37.5%,10.0%,20.3%,36.4%,0.4%,0.0%,87,53
Iga Swiatek,2024 Rome R32,W vsPutintseva,0.0%,-,9.0%,75.0%,25.6%,37.5%,100.0%,8.1%,19.0%,0.0%,-,87,56
Iga Swiatek,2024 Rome R64,W vsPera,0.0%,-,7.1%,75.0%,17.0%,36.4%,20.0%,29.8%,45.5%,0.0%,-,68,67
Iga Swiatek,2024 Madrid F,W vsSabalenka,0.0%,-,3.4%,87.5%,23.9%,41.7%,0.0%,13.3%,39.1%,0.0%,-,50,45
Iga Swiatek,2024 Madrid SF,W vsKeys,0.0%,-,6.3%,83.3%,16.7%,27.3%,0.0%,14.1%,60.0%,0.0%,-,-29,-45
Iga Swiatek,2024 Madrid QF,W vsHaddad Maia,0.0%,-,2.4%,75.0%,11.5%,12.0%,13.3%,12.9%,30.0%,0.0%,-,-23,20
Iga Swiatek,2024 Madrid R16,W vsSorribes Tormo,0.0%,-,13.2%,80.0%,16.7%,25.0%,0.0%,8.8%,42.9%,0.5%,100.0%,44,21
Iga Swiatek,2024 Madrid R32,W vsCirstea,0.0%,-,5.1%,100.0%,13.3%,50.0%,0.0%,17.5%,38.5%,0.0%,-,49,34
Iga Swiatek,2024 Madrid R64,W vsWang,0.0%,-,5.9%,66.7%,18.5%,29.4%,25.0%,19.0%,66.7%,0.0%,-,156,130
Iga Swiatek,2024 Stuttgart SF,L vsRybakina,0.0%,-,7.6%,81.3%,21.1%,23.7%,0.0%,26.4%,36.1%,0.0%,-,43,24
Iga Swiatek,2024 Stuttgart QF,W vsRaducanu,0.0%,-,6.0%,77.8%,24.8%,41.9%,0.0%,19.3%,31.4%,0.0%,-,85,50
Iga Swiatek,2024 Stuttgart R16,W vsMertens,0.0%,-,8.8%,60.0%,25.0%,36.8%,0.0%,18.8%,33.3%,0.0%,-,80,51
Iga Swiatek,2024 BJK Cup RR,W vsNaef,0.0%,-,10.2%,90.9%,19.7%,32.3%,0.0%,7.4%,14.3%,0.0%,-,57,60
Iga Swiatek,2024 BJK Cup RR,W vsWaltert,0.0%,-,11.4%,75.0%,18.2%,25.0%,0.0%,9.7%,21.4%,0.0%,-,43,39
Iga Swiatek,2024 Miami R16,L vsAlexandrova,0.0%,-,1.8%,50.0%,22.7%,25.0%,0.0%,18.2%,25.0%,0.0%,-,22,35
Iga Swiatek,2024 Miami R32,W vsNoskova,0.0%,-,6.1%,66.7%,13.2%,28.6%,0.0%,14.4%,29.4%,0.0%,-,71,43
Iga Swiatek,2024 Miami R64,W vsGiorgi,0.0%,-,4.4%,100.0%,21.2%,14.3%,0.0%,11.4%,14.3%,0.0%,-,66,56
Iga Swiatek,2024 Indian Wells F,W vsSakkari,0.0%,-,16.1%,85.7%,14.8%,30.4%,0.0%,15.0%,16.7%,0.0%,-,14,43
Iga Swiatek,2024 Indian Wells SF,W vsKostyuk,0.0%,-,11.0%,90.0%,19.4%,30.8%,0.0%,10.9%,18.2%,0.0%,-,-62,-72
Iga Swiatek,2024 Indian Wells R16,W vsPutintseva,0.0%,-,10.0%,80.0%,11.6%,23.5%,0.0%,10.0%,24.1%,0.0%,-,3,9
Iga Swiatek,2024 Indian Wells R32,W vsNoskova,0.0%,-,12.1%,75.0%,35.0%,66.7%,0.0%,11.1%,33.3%,0.0%,-,147,102
Iga Swiatek,2024 Indian Wells R64,W vsCollins,0.0%,-,8.4%,88.9%,20.0%,50.0%,0.0%,7.3%,28.6%,0.0%,-,-5,62
Iga Swiatek,2024 Dubai SF,L vsKalinskaya,0.0%,-,7.5%,90.0%,20.8%,34.5%,0.0%,22.2%,30.0%,0.0%,-,74,57
Iga Swiatek,2024 Dubai QF,W vsZheng,0.0%,-,8.4%,88.9%,16.7%,30.0%,0.0%,13.6%,28.6%,0.0%,-,84,62
Iga Swiatek,2024 Dubai R16,W vsSvitolina,0.0%,-,9.1%,70.0%,9.6%,8.7%,0.0%,12.5%,45.5%,0.0%,-,-10,-3
Iga Swiatek,2024 Dubai R32,W vsStephens,0.0%,-,6.8%,80.0%,11.5%,15.4%,0.0%,13.7%,38.5%,0.0%,-,56,57
Iga Swiatek,2024 Doha F,W vsRybakina,0.0%,-,7.9%,84.6%,10.7%,21.7%,0.0%,11.2%,22.2%,0.0%,-,-38,-26
Iga Swiatek,2024 Doha QF,W vsAzarenka,0.0%,-,5.9%,80.0%,20.3%,50.0%,0.0%,15.9%,29.6%,0.6%,100.0%,1,11
Iga Swiatek,2024 Doha R16,W vsAlexandrova,0.0%,-,4.8%,83.3%,14.0%,50.0%,0.0%,13.7%,47.1%,0.0%,-,1,38
Iga Swiatek,2024 Doha R32,W vsCirstea,0.0%,-,10.5%,66.7%,16.1%,46.2%,0.0%,25.5%,50.0%,0.0%,-,64,55
Iga Swiatek,2024 Australian Open R32,L vsNoskova,0.0%,-,5.9%,54.5%,18.3%,25.8%,0.0%,10.6%,21.4%,0.0%,-,31,20
Iga Swiatek,2024 Australian Open R64,W vsCollins,0.0%,-,6.9%,85.7%,18.0%,30.0%,0.0%,12.9%,31.6%,0.0%,-,19,45
Iga Swiatek,2024 Australian Open R128,W vsKenin,0.0%,-,6.3%,77.8%,17.3%,50.0%,0.0%,20.5%,44.4%,0.0%,-,40,43
Iga Swiatek,2024 United Cup F,W vsKerber,0.0%,-,7.9%,87.5%,26.7%,16.7%,15.4%,20.0%,14.3%,0.0%,-,74,61
Iga Swiatek,2024 United Cup SF,W vsGarcia,0.0%,-,4.9%,100.0%,32.1%,76.9%,0.0%,15.4%,28.6%,0.0%,-,87,81
Iga Swiatek,2024 United Cup QF,W vsZheng,0.0%,-,7.1%,100.0%,20.3%,35.3%,33.3%,10.4%,18.8%,0.5%,100.0%,-5,-4
Iga Swiatek,2024 United Cup RR,W vsHaddad Maia,0.0%,-,8.4%,75.0%,18.0%,16.0%,14.3%,9.2%,11.8%,0.0%,-,6,-12
Iga Swiatek,2024 United Cup RR,W vsSorribes Tormo,0.0%,-,13.0%,53.8%,17.8%,28.6%,0.0%,14.5%,31.3%,0.4%,100.0%,61,29
Iga Swiatek,2023 Cancun Finals F,W vsPegula,0.0%,-,9.7%,100.0%,12.9%,14.3%,0.0%,9.8%,16.7%,0.0%,-,-14,14
Iga Swiatek,2023 Cancun Finals SF,W vsSabalenka,0.0%,-,6.1%,100.0%,13.7%,40.0%,0.0%,13.2%,33.3%,0.0%,-,41,34
Iga Swiatek,2023 Cancun Finals RR,W vsVondrousova,0.0%,-,22.6%,61.5%,19.4%,22.7%,5.9%,10.4%,12.5%,0.0%,-,89,69
Iga Swiatek,2023 Cancun Finals RR,W vsJabeur,0.0%,-,16.0%,66.7%,26.9%,53.8%,0.0%,17.4%,50.0%,0.7%,100.0%,21,11
Iga Swiatek,2023 Cancun Finals RR,W vsGauff,0.0%,-,8.6%,70.0%,9.6%,16.7%,0.0%,9.0%,8.0%,0.0%,-,-24,24
Iga Swiatek,2023 Beijing F,W vsSamsonova,0.0%,-,3.3%,100.0%,10.3%,50.0%,0.0%,0.0%,0.0%,0.0%,-,-142,-71
Iga Swiatek,2023 Beijing SF,W vsGauff,0.0%,-,8.0%,62.5%,21.8%,35.7%,100.0%,10.1%,18.8%,0.0%,-,-86,-61
Iga Swiatek,2023 Beijing QF,W vsGarcia,0.0%,-,4.8%,80.0%,21.3%,36.8%,0.0%,25.0%,60.0%,0.0%,-,-6,14
Iga Swiatek,2023 Beijing R16,W vsLinette,0.0%,-,6.5%,100.0%,16.7%,25.9%,0.0%,16.4%,40.0%,0.0%,-,24,-1
Iga Swiatek,2023 Beijing R32,W vsGracheva,0.0%,-,7.8%,75.0%,11.9%,20.0%,0.0%,9.5%,16.7%,0.0%,-,-30,-17
Iga Swiatek,2023 Beijing R64,W vsSorribes Tormo,0.0%,-,21.4%,66.7%,25.0%,29.8%,50.0%,6.1%,15.0%,0.0%,-,99,46
Iga Swiatek,2023 Tokyo QF,L vsKudermetova,0.0%,-,11.0%,66.7%,14.4%,18.2%,0.0%,21.2%,27.3%,0.0%,-,162,141
Iga Swiatek,2023 Tokyo R16,W vsHontama,0.0%,-,9.1%,71.4%,15.2%,28.6%,0.0%,3.9%,9.1%,0.0%,-,56,41
Iga Swiatek,2023 US Open R16,L vsOstapenko,0.0%,-,2.7%,75.0%,13.0%,30.8%,0.0%,12.8%,14.3%,0.0%,-,71,60
Iga Swiatek,2023 US Open R32,W vsJuvan,0.0%,-,15.2%,90.0%,41.3%,40.0%,0.0%,21.6%,41.7%,0.0%,-,161,95
Iga Swiatek,2023 US Open R64,W vsSaville,0.0%,-,22.3%,68.0%,17.5%,14.0%,50.0%,7.2%,14.3%,0.0%,-,56,29
Iga Swiatek,2023 US Open R128,W vsPeterson,0.0%,-,6.8%,80.0%,24.2%,27.6%,0.0%,17.1%,36.4%,2.2%,33.3%,141,120
Iga Swiatek,2023 Cincinnati SF,L vsGauff,0.0%,-,11.4%,82.6%,19.6%,39.0%,0.0%,9.1%,16.3%,0.3%,0.0%,74,30
Iga Swiatek,2023 Cincinnati QF,W vsVondrousova,0.0%,-,13.6%,68.8%,15.1%,16.7%,0.0%,12.4%,43.8%,0.0%,-,56,35
Iga Swiatek,2023 Cincinnati R16,W vsZheng,0.0%,-,2.0%,66.7%,10.7%,20.0%,0.0%,6.1%,27.3%,1.0%,50.0%,72,68
Iga Swiatek,2023 Cincinnati R32,W vsCollins,0.0%,-,7.3%,100.0%,31.3%,40.0%,0.0%,25.0%,71.4%,0.0%,-,28,94
Iga Swiatek,2023 Montreal SF,L vsPegula,0.0%,-,8.2%,62.5%,15.3%,18.6%,0.0%,11.0%,36.8%,0.0%,-,88,67
Iga Swiatek,2023 Montreal QF,W vsCollins,0.0%,-,2.9%,60.0%,24.7%,50.0%,0.0%,16.4%,28.6%,0.0%,-,62,79
Iga Swiatek,2023 Montreal R16,W vsMuchova,0.0%,-,7.5%,73.3%,18.5%,24.4%,0.0%,9.3%,25.0%,0.0%,-,110,94
Iga Swiatek,2023 Montreal R32,W vsPliskova,0.0%,-,5.8%,87.5%,25.6%,52.6%,100.0%,10.6%,12.5%,0.0%,-,117,118
Iga Swiatek,2023 Warsaw F,W vsSiegemund,0.0%,-,5.2%,100.0%,20.0%,22.2%,0.0%,15.0%,50.0%,0.0%,-,-3,34
Iga Swiatek,2023 Warsaw SF,W vsWickmayer,0.0%,-,3.5%,80.0%,14.7%,24.1%,66.7%,16.7%,50.0%,0.0%,-,10,-6
Iga Swiatek,2023 Warsaw QF,W vsNoskova,0.0%,-,6.3%,42.9%,20.0%,42.9%,0.0%,16.0%,44.4%,0.0%,-,52,75
Iga Swiatek,2023 Warsaw R16,W vsLiu,0.0%,-,5.2%,66.7%,18.9%,31.3%,100.0%,2.7%,0.0%,0.0%,-,57,23
Iga Swiatek,2023 Warsaw R32,W vsAbduraimova,0.0%,-,5.9%,87.5%,11.0%,21.2%,0.0%,11.3%,17.6%,0.0%,-,115,75
Iga Swiatek,2023 Wimbledon QF,L vsSvitolina,0.0%,-,7.2%,73.3%,21.3%,29.4%,0.0%,17.8%,46.2%,0.0%,-,102,74
Iga Swiatek,2023 Wimbledon R16,W vsBencic,0.0%,-,4.1%,55.6%,29.5%,37.9%,100.0%,9.8%,23.8%,0.0%,-,67,55
Iga Swiatek,2023 Wimbledon R32,W vsMartic,0.0%,-,11.5%,80.0%,25.6%,28.6%,0.0%,8.8%,23.1%,0.0%,-,125,73
Iga Swiatek,2023 Wimbledon R64,W vsSorribes Tormo,2.8%,100.0%,9.9%,75.0%,24.0%,28.2%,0.0%,11.0%,20.0%,0.9%,0.0%,41,13
Iga Swiatek,2023 Wimbledon R128,W vsZhu,0.0%,-,7.8%,62.5%,19.4%,20.8%,0.0%,12.3%,25.0%,0.0%,-,61,58
Iga Swiatek,2023 Bad Homburg QF,W vsBlinkova,0.0%,-,7.2%,100.0%,32.5%,60.0%,0.0%,24.3%,62.5%,0.9%,0.0%,219,133
Iga Swiatek,2023 Bad Homburg R16,W vsTeichmann,0.0%,-,13.7%,84.6%,14.7%,16.7%,0.0%,18.8%,46.2%,0.6%,0.0%,95,58
Iga Swiatek,2023 Bad Homburg R32,W vsMaria,0.0%,-,16.0%,80.0%,27.9%,29.5%,0.0%,22.0%,41.7%,0.0%,-,146,88
Iga Swiatek,2023 Roland Garros F,W vsMuchova,0.0%,-,11.3%,55.0%,16.9%,29.7%,0.0%,11.2%,20.7%,0.0%,-,-54,-38
Iga Swiatek,2023 Roland Garros SF,W vsHaddad Maia,0.0%,-,6.3%,55.6%,20.9%,36.4%,0.0%,7.8%,27.8%,0.0%,-,-6,6
Iga Swiatek,2023 Roland Garros QF,W vsGauff,0.0%,-,12.9%,61.5%,17.5%,28.6%,0.0%,8.7%,8.3%,0.0%,-,24,19
Iga Swiatek,2023 Roland Garros R16,W vsTsurenko,0.0%,-,9.1%,100.0%,6.9%,10.0%,0.0%,12.8%,62.5%,0.0%,-,-4,-11
Iga Swiatek,2023 Roland Garros R32,W vsWang,0.0%,-,10.4%,100.0%,25.0%,33.3%,0.0%,22.4%,40.0%,0.0%,-,109,90
Iga Swiatek,2023 Roland Garros R64,W vsLiu,0.0%,-,2.8%,100.0%,22.4%,23.5%,0.0%,15.2%,33.3%,0.5%,100.0%,119,74
Iga Swiatek,2023 Roland Garros R128,W vsBucsa,0.0%,-,4.1%,50.0%,27.9%,61.5%,0.0%,13.0%,25.0%,0.0%,-,153,123
Iga Swiatek,2023 Rome QF,L vsRybakina,0.0%,-,3.0%,80.0%,20.9%,30.6%,0.0%,13.3%,50.0%,0.0%,-,57,32
Iga Swiatek,2023 Rome R16,W vsVekic,0.0%,-,3.3%,100.0%,25.4%,27.8%,0.0%,11.1%,40.0%,0.0%,-,111,85
Iga Swiatek,2023 Rome R32,W vsTsurenko,0.0%,-,7.8%,71.4%,28.8%,47.8%,0.0%,5.0%,10.5%,0.0%,-,101,73
Iga Swiatek,2023 Rome R64,W vsPavlyuchenkova,0.0%,-,7.0%,100.0%,27.5%,30.8%,0.0%,15.8%,40.0%,0.0%,-,159,132
Iga Swiatek,2023 Madrid F,L vsSabalenka,0.0%,-,1.7%,33.3%,14.1%,30.8%,0.0%,12.2%,33.3%,0.0%,-,-2,7
